JUN18LOF00192.spu,JUN18LOF00191.spu,JUN18LOF00190.spu,JUN18LOF00189.spu,JUN18LOF00188.spu,
Wavelength,JUN18LOF00193.spu,JUN18LOF00194.spu,JUN18LOF00195.spu,JUN18LOF00196.spu,JUN18LOF00197.spu,JUN18LOF00198.spu,JUN18LOF00199.spu,JUN18LOF00200.spu,JUN18LOF00201.spu,JUN18LOF00202.spu,JUN18LOF00203.spu,JUN18LOF00204.spu,JUN18LOF00205.spu,JUN18LOF00206.spu,JUN18LOF00207.spu,JUN18LOF00208.spu,JUN18LOF00209.spu,JUN18LOF00210.spu,JUN18LOF00211.spu,JUN18LOF00212.spu
 328 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.004869 , 0.004869 , 0.004869 , 0.004869 , 0 , 0.004869 , 0 , 0.004869 , 0.004869 , 0.004869 , 0.004869 , 0.004869 
 329 , 0.001334 , 0 , 0 , 0.005336 , 0.000113 , 0 , 0 , 0.00106 , 0.353877 , 0.353877 , 0.353877 , 0.353877 , 0.000794 , 0.353877 , 0.003681 , 0.353877 , 0.353877 , 0.353877 , 0.353877 , 0.353877 
 330 , 0.002154 , 0 , 0 , 0.008615 , 0.000182 , 0 , 0 , 0.005877 , 0.556934 , 0.556934 , 0.556934 , 0.556934 , 0.001281 , 0.556934 , 0.005943 , 0.556934 , 0.556934 , 0.556934 , 0.556934 , 0.556934 
 331 , 0.002705 , 0 , 0 , 0.01082 , 0.000228 , 0 , 0 , 0.040139 , 0.693607 , 0.693607 , 0.693607 , 0.693607 , 0.001609 , 0.693607 , 0.007464 , 0.693607 , 0.693607 , 0.693607 , 0.693607 , 0.693607 
 332 , 0.002013 , 0.000227 , 0.000074 , 0.002492 , 0.000419 , 0 , 0 , 0.010069 , 0.000702 , 0.001635 , 0.012671 , 0.005014 , 0.001318 , 0.003426 , 0.005813 , 0.000717 , 0 , 0.000628 , 0.00926 , 0.000307 
 333 , 0.004194 , 0.000467 , 0.000208 , 0.003025 , 0.001517 , 0 , 0 , 0.007776 , 0.001442 , 0.001238 , 0.011813 , 0.005125 , 0.0031 , 0.003578 , 0.01264 , 0.001474 , 0 , 0.00129 , 0.009517 , 0.000631 
 334 , 0.005749 , 0.000615 , 0.000301 , 0.003227 , 0.002678 , 0 , 0 , 0.006426 , 0.001901 , 0.001003 , 0.011362 , 0.005224 , 0.004623 , 0.003692 , 0.017542 , 0.001944 , 0 , 0.001701 , 0.009731 , 0.000832 
 335 , 0.007663 , 0.000866 , 0.000665 , 0.00412 , 0.004132 , 0.00013 , 0 , 0.006258 , 0.002518 , 0.001325 , 0.01249 , 0.006243 , 0.006654 , 0.004641 , 0.016303 , 0.002628 , 0.000166 , 0.002299 , 0.011834 , 0.001595 
 336 , 0.011104 , 0.001593 , 0.002226 , 0.007719 , 0.006325 , 0.001105 , 0 , 0.008941 , 0.003708 , 0.00457 , 0.016564 , 0.009786 , 0.010323 , 0.008488 , 0.012591 , 0.004301 , 0.001118 , 0.003728 , 0.019632 , 0.005602 
 337 , 0.013766 , 0.002288 , 0.003661 , 0.011659 , 0.008134 , 0.002447 , 0 , 0.011086 , 0.004638 , 0.010305 , 0.01936 , 0.01277 , 0.013389 , 0.012363 , 0.012204 , 0.005656 , 0.002073 , 0.004924 , 0.026521 , 0.010449 
 338 , 0.015961 , 0.002931 , 0.004926 , 0.015857 , 0.009683 , 0.004009 , 0 , 0.012881 , 0.005406 , 0.020008 , 0.021521 , 0.015351 , 0.016032 , 0.016152 , 0.012357 , 0.006791 , 0.002952 , 0.005947 , 0.032635 , 0.015616 
 339 , 0.014672 , 0.004085 , 0.005895 , 0.015108 , 0.01057 , 0.005425 , 0.001467 , 0.013074 , 0.007021 , 0.018363 , 0.021366 , 0.016447 , 0.01771 , 0.015451 , 0.012972 , 0.009253 , 0.005697 , 0.008103 , 0.032609 , 0.016867 
 340 , 0.013254 , 0.005162 , 0.006548 , 0.013885 , 0.011086 , 0.006574 , 0.003023 , 0.012851 , 0.008377 , 0.016122 , 0.020744 , 0.017018 , 0.01888 , 0.014265 , 0.013337 , 0.012444 , 0.008083 , 0.010115 , 0.031462 , 0.016939 
 341 , 0.01211 , 0.006052 , 0.006965 , 0.012865 , 0.011349 , 0.007489 , 0.004366 , 0.012522 , 0.009333 , 0.014585 , 0.020024 , 0.017312 , 0.019684 , 0.013248 , 0.013446 , 0.016415 , 0.009827 , 0.011744 , 0.030182 , 0.016674 
 342 , 0.012057 , 0.007315 , 0.008099 , 0.013542 , 0.011781 , 0.007779 , 0.005218 , 0.013011 , 0.010144 , 0.013644 , 0.020702 , 0.018337 , 0.019595 , 0.014016 , 0.014515 , 0.018738 , 0.011186 , 0.012409 , 0.028711 , 0.017147 
 343 , 0.012875 , 0.009084 , 0.010172 , 0.015925 , 0.012335 , 0.007503 , 0.005565 , 0.014223 , 0.01083 , 0.013033 , 0.022595 , 0.020013 , 0.018889 , 0.016548 , 0.016586 , 0.018391 , 0.012278 , 0.012218 , 0.027448 , 0.018287 
 344 , 0.01348 , 0.010758 , 0.01218 , 0.01831 , 0.012702 , 0.00725 , 0.005821 , 0.015188 , 0.011333 , 0.012496 , 0.024098 , 0.021332 , 0.018325 , 0.01891 , 0.018401 , 0.018165 , 0.013138 , 0.012031 , 0.02652 , 0.019126 
 345 , 0.014008 , 0.012121 , 0.013881 , 0.020566 , 0.013001 , 0.007127 , 0.006085 , 0.01602 , 0.011803 , 0.01226 , 0.025132 , 0.022328 , 0.018041 , 0.021018 , 0.019904 , 0.018 , 0.013712 , 0.012009 , 0.025633 , 0.019705 
 346 , 0.015067 , 0.011413 , 0.013248 , 0.021207 , 0.013771 , 0.008129 , 0.007067 , 0.017282 , 0.013245 , 0.014645 , 0.024372 , 0.022516 , 0.019538 , 0.021911 , 0.020302 , 0.01771 , 0.013164 , 0.013584 , 0.023615 , 0.019797 
 347 , 0.015972 , 0.010883 , 0.012745 , 0.021655 , 0.014399 , 0.009033 , 0.007933 , 0.01835 , 0.014527 , 0.016943 , 0.023705 , 0.022585 , 0.02087 , 0.02259 , 0.02055 , 0.017408 , 0.012716 , 0.015056 , 0.022127 , 0.019803 
 348 , 0.016739 , 0.010456 , 0.01232 , 0.02195 , 0.014903 , 0.009842 , 0.008691 , 0.019246 , 0.01566 , 0.019141 , 0.023096 , 0.022563 , 0.022047 , 0.023093 , 0.020682 , 0.017097 , 0.012331 , 0.016426 , 0.020957 , 0.019739 
 349 , 0.018542 , 0.011674 , 0.013251 , 0.023212 , 0.016387 , 0.01074 , 0.009293 , 0.020939 , 0.017205 , 0.020127 , 0.024749 , 0.024265 , 0.023618 , 0.02411 , 0.021657 , 0.017923 , 0.013303 , 0.017823 , 0.021498 , 0.020388 
 350 , 0.020826 , 0.013518 , 0.014636 , 0.024756 , 0.018232 , 0.011621 , 0.009793 , 0.022907 , 0.018838 , 0.020557 , 0.027222 , 0.026582 , 0.025238 , 0.025229 , 0.022858 , 0.019092 , 0.014744 , 0.019129 , 0.022549 , 0.021222 
 351 , 0.023149 , 0.015308 , 0.01592 , 0.026153 , 0.019991 , 0.01242 , 0.01023 , 0.024776 , 0.020339 , 0.020914 , 0.02959 , 0.028774 , 0.026698 , 0.026206 , 0.023915 , 0.020128 , 0.016097 , 0.020297 , 0.023469 , 0.021944 
 352 , 0.024834 , 0.016547 , 0.016926 , 0.027227 , 0.021576 , 0.013268 , 0.011199 , 0.025852 , 0.020859 , 0.021163 , 0.031289 , 0.02994 , 0.02794 , 0.026714 , 0.025125 , 0.020717 , 0.016829 , 0.021175 , 0.024237 , 0.022238 
 353 , 0.025096 , 0.01669 , 0.017452 , 0.027771 , 0.022845 , 0.014289 , 0.013619 , 0.025498 , 0.019748 , 0.021247 , 0.031717 , 0.029268 , 0.02886 , 0.026469 , 0.026741 , 0.020584 , 0.016511 , 0.021582 , 0.024788 , 0.021847 
 354 , 0.025284 , 0.016779 , 0.017894 , 0.028204 , 0.023992 , 0.015235 , 0.016585 , 0.025177 , 0.018844 , 0.021281 , 0.032042 , 0.028669 , 0.029638 , 0.026231 , 0.028222 , 0.020452 , 0.016268 , 0.021902 , 0.025227 , 0.021494 
 355 , 0.025413 , 0.016826 , 0.018268 , 0.02855 , 0.025031 , 0.016111 , 0.020317 , 0.02488 , 0.018087 , 0.021279 , 0.032287 , 0.028127 , 0.030297 , 0.025998 , 0.029582 , 0.020323 , 0.016075 , 0.022155 , 0.025576 , 0.02117 
 356 , 0.025759 , 0.017059 , 0.019018 , 0.027658 , 0.024994 , 0.016705 , 0.017354 , 0.025324 , 0.018752 , 0.021874 , 0.032595 , 0.029772 , 0.030925 , 0.026885 , 0.028352 , 0.020936 , 0.017921 , 0.022135 , 0.026021 , 0.021415 
 357 , 0.026069 , 0.017278 , 0.01976 , 0.026865 , 0.024904 , 0.017245 , 0.015282 , 0.025756 , 0.019448 , 0.02245 , 0.03286 , 0.031487 , 0.031491 , 0.027768 , 0.027243 , 0.02154 , 0.020034 , 0.022096 , 0.026422 , 0.021652 
 358 , 0.026338 , 0.017473 , 0.020475 , 0.026199 , 0.024816 , 0.017747 , 0.013889 , 0.026145 , 0.020108 , 0.022981 , 0.033085 , 0.033159 , 0.032002 , 0.028594 , 0.02633 , 0.022104 , 0.022335 , 0.022055 , 0.02678 , 0.02186 
 359 , 0.027256 , 0.017843 , 0.020901 , 0.02639 , 0.025337 , 0.018129 , 0.013679 , 0.026282 , 0.020912 , 0.023549 , 0.034274 , 0.034046 , 0.032498 , 0.029353 , 0.0266 , 0.022504 , 0.022433 , 0.022512 , 0.028193 , 0.022321 
 360 , 0.028611 , 0.018308 , 0.021122 , 0.027112 , 0.026247 , 0.018412 , 0.014095 , 0.026263 , 0.021786 , 0.024117 , 0.03612 , 0.034335 , 0.03297 , 0.030034 , 0.027612 , 0.022781 , 0.021117 , 0.023287 , 0.030385 , 0.022938 
 361 , 0.029881 , 0.018723 , 0.021341 , 0.027768 , 0.027085 , 0.018666 , 0.014474 , 0.026257 , 0.022597 , 0.024632 , 0.037864 , 0.034597 , 0.033401 , 0.030656 , 0.028547 , 0.023036 , 0.020118 , 0.023996 , 0.032529 , 0.0235 
 362 , 0.030687 , 0.018981 , 0.021463 , 0.028447 , 0.027694 , 0.018814 , 0.014844 , 0.026323 , 0.023302 , 0.025147 , 0.039018 , 0.034793 , 0.033597 , 0.031141 , 0.029238 , 0.023238 , 0.019526 , 0.024602 , 0.034119 , 0.023922 
 363 , 0.029877 , 0.018733 , 0.021219 , 0.029436 , 0.027577 , 0.018611 , 0.015269 , 0.026616 , 0.023763 , 0.025807 , 0.038082 , 0.034774 , 0.03296 , 0.031229 , 0.029161 , 0.023277 , 0.019778 , 0.024949 , 0.033576 , 0.023917 
 364 , 0.029161 , 0.0185 , 0.02098 , 0.03039 , 0.027451 , 0.018415 , 0.015658 , 0.026868 , 0.024186 , 0.026421 , 0.037246 , 0.034734 , 0.032383 , 0.031287 , 0.029068 , 0.023298 , 0.019998 , 0.025257 , 0.033075 , 0.023896 
 365 , 0.028521 , 0.018279 , 0.020747 , 0.031311 , 0.027317 , 0.018225 , 0.016014 , 0.027085 , 0.024574 , 0.026992 , 0.036491 , 0.034675 , 0.031854 , 0.03132 , 0.028964 , 0.023303 , 0.020189 , 0.025528 , 0.03261 , 0.023861 
 366 , 0.028754 , 0.019098 , 0.02116 , 0.031404 , 0.027542 , 0.018373 , 0.016249 , 0.027693 , 0.025129 , 0.026982 , 0.03712 , 0.035271 , 0.032185 , 0.031096 , 0.029473 , 0.023818 , 0.020495 , 0.025483 , 0.032462 , 0.024931 
 367 , 0.029136 , 0.020139 , 0.021685 , 0.03131 , 0.027818 , 0.018576 , 0.016442 , 0.028354 , 0.025682 , 0.02685 , 0.037999 , 0.035963 , 0.032663 , 0.030834 , 0.030076 , 0.024414 , 0.0208 , 0.025375 , 0.03237 , 0.026242 
 368 , 0.029474 , 0.021165 , 0.022175 , 0.031227 , 0.028066 , 0.018759 , 0.01662 , 0.028965 , 0.026199 , 0.026733 , 0.038819 , 0.0366 , 0.033096 , 0.030596 , 0.030635 , 0.024971 , 0.021075 , 0.025277 , 0.032267 , 0.027537 
 369 , 0.029917 , 0.021425 , 0.022663 , 0.03138 , 0.028005 , 0.01891 , 0.01664 , 0.029536 , 0.026105 , 0.026503 , 0.039186 , 0.037119 , 0.03375 , 0.030805 , 0.031038 , 0.025248 , 0.021298 , 0.025393 , 0.032058 , 0.028066 
 370 , 0.030505 , 0.02078 , 0.023159 , 0.031805 , 0.027592 , 0.019035 , 0.016486 , 0.030054 , 0.02536 , 0.02617 , 0.039045 , 0.037509 , 0.03469 , 0.03155 , 0.031264 , 0.025204 , 0.021469 , 0.025773 , 0.031756 , 0.027657 
 371 , 0.031069 , 0.020211 , 0.023623 , 0.032154 , 0.027186 , 0.019152 , 0.016335 , 0.030534 , 0.024725 , 0.025887 , 0.038924 , 0.03786 , 0.035573 , 0.032246 , 0.031455 , 0.025164 , 0.021624 , 0.026131 , 0.031496 , 0.027295 
 372 , 0.031551 , 0.019756 , 0.023999 , 0.032418 , 0.026871 , 0.019288 , 0.016217 , 0.030976 , 0.024224 , 0.025679 , 0.038871 , 0.038154 , 0.036343 , 0.032849 , 0.031636 , 0.025147 , 0.021756 , 0.026436 , 0.031323 , 0.026982 
 373 , 0.031119 , 0.020093 , 0.02342 , 0.032051 , 0.027685 , 0.019741 , 0.016497 , 0.031189 , 0.024529 , 0.026115 , 0.039587 , 0.037885 , 0.035957 , 0.03257 , 0.031934 , 0.025397 , 0.021646 , 0.026173 , 0.031985 , 0.026788 
 374 , 0.030768 , 0.020415 , 0.022957 , 0.031836 , 0.028451 , 0.020174 , 0.016769 , 0.031439 , 0.024811 , 0.026466 , 0.04024 , 0.037743 , 0.035722 , 0.032375 , 0.032239 , 0.025617 , 0.0216 , 0.02598 , 0.032584 , 0.026663 
 375 , 0.030474 , 0.020728 , 0.022573 , 0.031727 , 0.029185 , 0.020594 , 0.017034 , 0.031717 , 0.025079 , 0.026753 , 0.040847 , 0.037694 , 0.035592 , 0.032241 , 0.032551 , 0.025813 , 0.021599 , 0.025837 , 0.033135 , 0.026588 
 376 , 0.030676 , 0.02104 , 0.022658 , 0.032404 , 0.029695 , 0.021179 , 0.017177 , 0.031661 , 0.024942 , 0.026763 , 0.041374 , 0.038229 , 0.035949 , 0.032892 , 0.033205 , 0.02613 , 0.021943 , 0.026064 , 0.033173 , 0.026745 
 377 , 0.031021 , 0.021318 , 0.02292 , 0.033249 , 0.030064 , 0.021711 , 0.017254 , 0.031639 , 0.024733 , 0.026749 , 0.041867 , 0.038944 , 0.036487 , 0.033767 , 0.033924 , 0.026499 , 0.022377 , 0.026417 , 0.033104 , 0.026983 
 378 , 0.031319 , 0.021567 , 0.023175 , 0.03397 , 0.030396 , 0.022138 , 0.01732 , 0.031755 , 0.024598 , 0.026806 , 0.042364 , 0.039615 , 0.037018 , 0.034564 , 0.034581 , 0.026873 , 0.022774 , 0.026752 , 0.03312 , 0.027211 
 379 , 0.031637 , 0.021733 , 0.023371 , 0.034448 , 0.03056 , 0.022508 , 0.017484 , 0.032001 , 0.024634 , 0.027001 , 0.04283 , 0.040131 , 0.037589 , 0.035174 , 0.034965 , 0.027095 , 0.023013 , 0.02696 , 0.033216 , 0.02733 
 380 , 0.032 , 0.021698 , 0.023414 , 0.034554 , 0.030408 , 0.022823 , 0.017791 , 0.032353 , 0.024896 , 0.027354 , 0.043201 , 0.040371 , 0.038155 , 0.035433 , 0.034868 , 0.027005 , 0.022984 , 0.026944 , 0.033367 , 0.027271 
 381 , 0.032322 , 0.021593 , 0.023407 , 0.034671 , 0.030247 , 0.023098 , 0.018013 , 0.032672 , 0.025093 , 0.02764 , 0.04354 , 0.040621 , 0.038607 , 0.03565 , 0.034799 , 0.026918 , 0.02298 , 0.026954 , 0.033485 , 0.027263 
 382 , 0.032627 , 0.021448 , 0.023373 , 0.034796 , 0.03008 , 0.023356 , 0.018193 , 0.032979 , 0.025257 , 0.027895 , 0.043868 , 0.040881 , 0.039004 , 0.035846 , 0.034744 , 0.026833 , 0.02299 , 0.02698 , 0.033588 , 0.027283 
 383 , 0.032638 , 0.021931 , 0.02382 , 0.035144 , 0.03046 , 0.023502 , 0.018799 , 0.033308 , 0.02567 , 0.028016 , 0.044476 , 0.041614 , 0.039673 , 0.036312 , 0.035424 , 0.027087 , 0.023373 , 0.027453 , 0.034011 , 0.027649 
 384 , 0.032684 , 0.022446 , 0.024295 , 0.035458 , 0.030878 , 0.023649 , 0.019435 , 0.03364 , 0.026117 , 0.028178 , 0.045085 , 0.042324 , 0.040348 , 0.036779 , 0.036152 , 0.027401 , 0.023778 , 0.027943 , 0.034473 , 0.028019 
 385 , 0.032759 , 0.022967 , 0.024774 , 0.035747 , 0.031304 , 0.023803 , 0.020081 , 0.033973 , 0.026578 , 0.02837 , 0.045689 , 0.043006 , 0.041025 , 0.037241 , 0.036891 , 0.027743 , 0.024187 , 0.028434 , 0.034952 , 0.028382 
 386 , 0.033247 , 0.023228 , 0.025292 , 0.036195 , 0.031625 , 0.023849 , 0.020513 , 0.034464 , 0.026919 , 0.028714 , 0.046289 , 0.043631 , 0.041758 , 0.037953 , 0.037533 , 0.028093 , 0.024653 , 0.028897 , 0.035346 , 0.028674 
 387 , 0.033985 , 0.023302 , 0.025816 , 0.036733 , 0.031858 , 0.023819 , 0.02078 , 0.035033 , 0.027159 , 0.029139 , 0.046862 , 0.044201 , 0.042499 , 0.0388 , 0.038083 , 0.028432 , 0.025142 , 0.029326 , 0.03567 , 0.02892 
 388 , 0.034689 , 0.023375 , 0.026316 , 0.037242 , 0.032075 , 0.023791 , 0.02103 , 0.035563 , 0.027377 , 0.029543 , 0.047408 , 0.044749 , 0.043202 , 0.039601 , 0.038598 , 0.028755 , 0.025614 , 0.029732 , 0.035984 , 0.029173 
 389 , 0.035272 , 0.023508 , 0.026691 , 0.037699 , 0.03229 , 0.023975 , 0.021282 , 0.0361 , 0.027638 , 0.029902 , 0.047947 , 0.045278 , 0.043833 , 0.040295 , 0.039131 , 0.029019 , 0.026073 , 0.030119 , 0.036303 , 0.029417 
 390 , 0.035513 , 0.02386 , 0.026704 , 0.038042 , 0.032532 , 0.024884 , 0.021571 , 0.036752 , 0.028067 , 0.030154 , 0.048534 , 0.04581 , 0.044305 , 0.040722 , 0.039796 , 0.029132 , 0.026529 , 0.030483 , 0.036676 , 0.029646 
 391 , 0.035743 , 0.024201 , 0.026712 , 0.038375 , 0.032763 , 0.025756 , 0.021845 , 0.037372 , 0.028483 , 0.0304 , 0.049098 , 0.046317 , 0.044758 , 0.041132 , 0.040434 , 0.02924 , 0.026965 , 0.030832 , 0.037034 , 0.029862 
 392 , 0.035959 , 0.024525 , 0.02672 , 0.038697 , 0.032986 , 0.026594 , 0.022108 , 0.037967 , 0.028885 , 0.030643 , 0.049644 , 0.046805 , 0.045193 , 0.041524 , 0.041051 , 0.029344 , 0.027384 , 0.031163 , 0.037379 , 0.030069 
 393 , 0.036525 , 0.025264 , 0.027331 , 0.039513 , 0.033734 , 0.027293 , 0.022704 , 0.038581 , 0.02933 , 0.031136 , 0.050614 , 0.047711 , 0.046324 , 0.042448 , 0.04198 , 0.030026 , 0.028121 , 0.031796 , 0.038156 , 0.030577 
 394 , 0.037112 , 0.026019 , 0.027995 , 0.04035 , 0.034513 , 0.027924 , 0.023312 , 0.039153 , 0.029747 , 0.031635 , 0.051587 , 0.04862 , 0.047493 , 0.043394 , 0.042895 , 0.030756 , 0.028856 , 0.032437 , 0.038952 , 0.031098 
 395 , 0.037653 , 0.026721 , 0.02861 , 0.041125 , 0.035236 , 0.028506 , 0.023874 , 0.039689 , 0.030137 , 0.032097 , 0.052484 , 0.049464 , 0.048578 , 0.04427 , 0.043745 , 0.031434 , 0.029543 , 0.033031 , 0.039686 , 0.031582 
 396 , 0.03822 , 0.027302 , 0.029147 , 0.041976 , 0.035845 , 0.029203 , 0.024619 , 0.040522 , 0.030621 , 0.032688 , 0.053464 , 0.050367 , 0.049612 , 0.045183 , 0.044686 , 0.032142 , 0.030333 , 0.033748 , 0.040433 , 0.032171 
 397 , 0.038784 , 0.027749 , 0.029587 , 0.042856 , 0.036321 , 0.029969 , 0.025487 , 0.041594 , 0.031169 , 0.033372 , 0.054464 , 0.051276 , 0.050554 , 0.046083 , 0.045663 , 0.032845 , 0.031187 , 0.034548 , 0.04115 , 0.032834 
 398 , 0.039274 , 0.028134 , 0.029973 , 0.043622 , 0.036733 , 0.030633 , 0.026245 , 0.042522 , 0.031646 , 0.033968 , 0.055335 , 0.052065 , 0.051373 , 0.046863 , 0.04651 , 0.033456 , 0.031931 , 0.035244 , 0.041773 , 0.033412 
 399 , 0.039701 , 0.028493 , 0.030328 , 0.044303 , 0.037113 , 0.031215 , 0.026895 , 0.043316 , 0.032086 , 0.034488 , 0.056129 , 0.052782 , 0.052123 , 0.047557 , 0.047271 , 0.033981 , 0.032577 , 0.035858 , 0.042333 , 0.033911 
 400 , 0.040033 , 0.02895 , 0.030791 , 0.044951 , 0.037584 , 0.031704 , 0.027368 , 0.043816 , 0.032663 , 0.034948 , 0.057047 , 0.053586 , 0.053009 , 0.048229 , 0.048049 , 0.034348 , 0.033106 , 0.036453 , 0.042922 , 0.034302 
 401 , 0.040331 , 0.029356 , 0.0312 , 0.045527 , 0.038002 , 0.032134 , 0.02779 , 0.044261 , 0.033177 , 0.035361 , 0.057861 , 0.054294 , 0.053794 , 0.048824 , 0.048738 , 0.034678 , 0.033576 , 0.036979 , 0.043445 , 0.03465 
 402 , 0.040595 , 0.029719 , 0.031568 , 0.046045 , 0.038372 , 0.03252 , 0.028162 , 0.044659 , 0.033636 , 0.035727 , 0.058586 , 0.054933 , 0.054495 , 0.049356 , 0.049356 , 0.03497 , 0.033994 , 0.037448 , 0.043914 , 0.034958 
 403 , 0.041075 , 0.03007 , 0.032049 , 0.04646 , 0.038788 , 0.032949 , 0.028635 , 0.045329 , 0.034016 , 0.036238 , 0.059427 , 0.055749 , 0.055372 , 0.050109 , 0.050085 , 0.035415 , 0.034535 , 0.037981 , 0.044501 , 0.035329 
 404 , 0.0416 , 0.030403 , 0.032551 , 0.046833 , 0.039205 , 0.033378 , 0.029116 , 0.04606 , 0.034366 , 0.036773 , 0.060276 , 0.056594 , 0.056273 , 0.050907 , 0.050821 , 0.035897 , 0.035086 , 0.038518 , 0.045109 , 0.035707 
 405 , 0.042095 , 0.030713 , 0.03302 , 0.047183 , 0.039593 , 0.033779 , 0.02957 , 0.046745 , 0.034688 , 0.037278 , 0.061072 , 0.057385 , 0.057114 , 0.05165 , 0.051508 , 0.036344 , 0.035605 , 0.039013 , 0.045678 , 0.03606 
 406 , 0.042549 , 0.031025 , 0.033373 , 0.047574 , 0.039961 , 0.034192 , 0.030016 , 0.047334 , 0.035066 , 0.037718 , 0.061814 , 0.058136 , 0.057904 , 0.052329 , 0.052165 , 0.036751 , 0.036101 , 0.039484 , 0.046156 , 0.036384 
