JUN24WSG100005.spu,JUN24WSG100004.spu,JUN24WSG100003.spu,
Wavelength,JUN24WSG100006.spu,JUN24WSG100007.spu,JUN24WSG100008.spu,JUN24WSG100009.spu,JUN24WSG100010.spu,JUN24WSG100011.spu,JUN24WSG100012.spu,JUN24WSG100013.spu,JUN24WSG100014.spu,JUN24WSG100015.spu,JUN24WSG100016.spu,JUN24WSG100017.spu,JUN24WSG100018.spu,JUN24WSG100019.spu,JUN24WSG100020.spu,JUN24WSG100021.spu,JUN24WSG100022.spu,JUN24WSG100023.spu,JUN24WSG100024.spu,JUN24WSG100025.spu
 327 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 328 , 0.007994 , 0.007994 , 0.007994 , 0.007994 , 0 , 0 , 0.007994 , 0.007994 , 0 , 0.007994 , 0 , 0.007994 , 0.007994 , 0 , 0 , 0 , 0 , 0.007994 , 0 , 0 
 329 , 0.495442 , 0.495442 , 0.495442 , 0.495442 , 0 , 0 , 0.495442 , 0.495442 , 0 , 0.495442 , 0 , 0.495442 , 0.495442 , 0 , 0 , 0 , 0 , 0.495442 , 0 , 0 
 330 , 0.71109 , 0.71109 , 0.71109 , 0.71109 , 0 , 0 , 0.71109 , 0.71109 , 0 , 0.71109 , 0 , 0.71109 , 0.71109 , 0 , 0 , 0 , 0 , 0.71109 , 0 , 0 
 331 , 0.832708 , 0.832708 , 0.832708 , 0.832708 , 0 , 0 , 0.832708 , 0.832708 , 0 , 0.832708 , 0 , 0.832708 , 0.832708 , 0 , 0 , 0 , 0 , 0.832708 , 0 , 0 
 332 , 0.1523 , 0 , 0 , 0.1523 , 0 , 0.000014 , 0.000212 , 0.1523 , 0.000007 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000055 , 0 , 0.1523 , 0 , 0.000021 
 333 , 0.26859 , 0 , 0 , 0.26859 , 0 , 0.000063 , 0.00039 , 0.26859 , 0.000041 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000291 , 0 , 0.26859 , 0 , 0.000066 
 334 , 0.220295 , 0 , 0 , 0.220295 , 0 , 0.000079 , 0.000323 , 0.220295 , 0.000069 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000434 , 0 , 0.220295 , 0 , 0.000066 
 335 , 0 , 0 , 0.000005 , 0 , 0.000059 , 0.000175 , 0.000416 , 0 , 0.000245 , 0.000007 , 0.000022 , 0.000008 , 0.00002 , 0 , 0 , 0.000731 , 0.000017 , 0.000241 , 0.000013 , 0.000095 
 336 , 0 , 0 , 0.000054 , 0 , 0.000655 , 0.001354 , 0.002397 , 0 , 0.001499 , 0.000096 , 0.000206 , 0.000143 , 0.000289 , 0 , 0 , 0.003335 , 0.00033 , 0.000846 , 0.000217 , 0.000532 
 337 , 0 , 0 , 0.000099 , 0 , 0.001197 , 0.002634 , 0.005348 , 0 , 0.002401 , 0.000203 , 0.000352 , 0.000363 , 0.000602 , 0 , 0 , 0.00671 , 0.00092 , 0.001186 , 0.000526 , 0.000994 
 338 , 0 , 0 , 0.000135 , 0 , 0.001619 , 0.003779 , 0.009609 , 0 , 0.003044 , 0.000302 , 0.00046 , 0.000627 , 0.000883 , 0 , 0 , 0.01154 , 0.001764 , 0.001418 , 0.00087 , 0.001424 
 339 , 0.000311 , 0.000648 , 0.000829 , 0.000706 , 0.000757 , 0.004433 , 0.00924 , 0.000574 , 0.003026 , 0.000563 , 0.000836 , 0.001015 , 0.001152 , 0 , 0 , 0.007043 , 0.001961 , 0.001825 , 0.000824 , 0.001957 
 340 , 0.000793 , 0.001722 , 0.002945 , 0.001867 , 0.000498 , 0.008384 , 0.013744 , 0.001479 , 0.004786 , 0.001379 , 0.001765 , 0.002101 , 0.002151 , 0 , 0 , 0.008032 , 0.003183 , 0.003658 , 0.001212 , 0.004313 
 341 , 0.001225 , 0.002733 , 0.006544 , 0.002954 , 0.00017 , 0.012863 , 0.016774 , 0.002302 , 0.006115 , 0.002389 , 0.002611 , 0.003131 , 0.003028 , 0 , 0 , 0.008353 , 0.004086 , 0.00563 , 0.001463 , 0.00757 
 342 , 0.001766 , 0.003633 , 0.009829 , 0.003739 , 0.000489 , 0.014152 , 0.017362 , 0.003329 , 0.00745 , 0.003462 , 0.003152 , 0.004306 , 0.004244 , 0.000201 , 0.00012 , 0.008856 , 0.005127 , 0.007219 , 0.002022 , 0.010535 
 343 , 0.002499 , 0.004316 , 0.010491 , 0.004049 , 0.001684 , 0.011996 , 0.016101 , 0.004622 , 0.008671 , 0.004255 , 0.003223 , 0.00556 , 0.005902 , 0.000641 , 0.000386 , 0.009387 , 0.006304 , 0.007944 , 0.003036 , 0.011488 
 344 , 0.003253 , 0.004821 , 0.010811 , 0.00419 , 0.002898 , 0.010545 , 0.0151 , 0.0058 , 0.009508 , 0.004815 , 0.003164 , 0.006615 , 0.007459 , 0.001032 , 0.000628 , 0.009644 , 0.007323 , 0.008388 , 0.004036 , 0.012024 
 345 , 0.004119 , 0.005232 , 0.010924 , 0.004292 , 0.004083 , 0.00972 , 0.014449 , 0.006862 , 0.010207 , 0.005267 , 0.00314 , 0.007458 , 0.008813 , 0.001385 , 0.000863 , 0.009935 , 0.008291 , 0.008743 , 0.004988 , 0.012437 
 346 , 0.006188 , 0.006003 , 0.011018 , 0.005176 , 0.005599 , 0.011773 , 0.015554 , 0.007917 , 0.011999 , 0.006213 , 0.004284 , 0.007707 , 0.009226 , 0.001931 , 0.001438 , 0.012184 , 0.010071 , 0.009766 , 0.00592 , 0.014089 
 347 , 0.00778 , 0.0066 , 0.011035 , 0.005828 , 0.007047 , 0.013588 , 0.016347 , 0.008809 , 0.013597 , 0.006979 , 0.005223 , 0.007821 , 0.009477 , 0.00243 , 0.002016 , 0.014382 , 0.011695 , 0.010619 , 0.006622 , 0.015397 
 348 , 0.009022 , 0.00707 , 0.011013 , 0.00632 , 0.008414 , 0.015198 , 0.016936 , 0.009573 , 0.015042 , 0.007604 , 0.005995 , 0.007861 , 0.009633 , 0.002882 , 0.002586 , 0.016548 , 0.013181 , 0.011353 , 0.007162 , 0.016453 
 349 , 0.009463 , 0.00763 , 0.01093 , 0.006698 , 0.009154 , 0.016378 , 0.017766 , 0.010225 , 0.016845 , 0.008858 , 0.006655 , 0.008532 , 0.009894 , 0.003689 , 0.003218 , 0.01732 , 0.014153 , 0.012121 , 0.007684 , 0.0164 
 350 , 0.009607 , 0.008217 , 0.010855 , 0.007013 , 0.009618 , 0.017379 , 0.018664 , 0.010804 , 0.018843 , 0.010554 , 0.007259 , 0.009394 , 0.010184 , 0.004638 , 0.003822 , 0.017504 , 0.014852 , 0.012862 , 0.008185 , 0.016041 
 351 , 0.009739 , 0.008766 , 0.010801 , 0.007282 , 0.01005 , 0.018336 , 0.019485 , 0.011324 , 0.020851 , 0.012461 , 0.007815 , 0.010162 , 0.010443 , 0.005562 , 0.004365 , 0.017664 , 0.015456 , 0.013528 , 0.008642 , 0.015764 
 352 , 0.009497 , 0.009178 , 0.01098 , 0.007652 , 0.010178 , 0.018952 , 0.020232 , 0.011512 , 0.021767 , 0.013343 , 0.008119 , 0.010864 , 0.010795 , 0.006184 , 0.004804 , 0.01798 , 0.015787 , 0.013832 , 0.008982 , 0.01569 
 353 , 0.008662 , 0.009363 , 0.011585 , 0.008269 , 0.009839 , 0.018979 , 0.020921 , 0.011157 , 0.020643 , 0.012031 , 0.007996 , 0.011537 , 0.011365 , 0.006243 , 0.0051 , 0.018591 , 0.015687 , 0.013558 , 0.009144 , 0.015903 
 354 , 0.007988 , 0.009532 , 0.012175 , 0.008851 , 0.009594 , 0.019023 , 0.02155 , 0.010867 , 0.019753 , 0.011055 , 0.007897 , 0.01219 , 0.011896 , 0.006308 , 0.005375 , 0.019161 , 0.015599 , 0.013347 , 0.009295 , 0.016093 
 355 , 0.007431 , 0.009687 , 0.012752 , 0.009402 , 0.009412 , 0.019078 , 0.022128 , 0.010626 , 0.019031 , 0.0103 , 0.007816 , 0.012824 , 0.012394 , 0.006376 , 0.00563 , 0.019695 , 0.015521 , 0.013181 , 0.009434 , 0.016263 
 356 , 0.007687 , 0.010237 , 0.012995 , 0.009806 , 0.009578 , 0.019186 , 0.021579 , 0.01113 , 0.017562 , 0.010767 , 0.008237 , 0.012922 , 0.012829 , 0.006202 , 0.005281 , 0.01873 , 0.014769 , 0.014089 , 0.009543 , 0.01697 
 357 , 0.007949 , 0.010773 , 0.01319 , 0.010169 , 0.009733 , 0.019254 , 0.021019 , 0.011631 , 0.016385 , 0.011254 , 0.00866 , 0.012979 , 0.013218 , 0.006009 , 0.00495 , 0.017892 , 0.014106 , 0.015045 , 0.009626 , 0.017655 
 358 , 0.008183 , 0.011276 , 0.013359 , 0.010502 , 0.009866 , 0.019289 , 0.020502 , 0.012093 , 0.015446 , 0.011702 , 0.009061 , 0.013026 , 0.013569 , 0.005814 , 0.004662 , 0.017206 , 0.013542 , 0.015996 , 0.009689 , 0.018293 
 359 , 0.008431 , 0.011517 , 0.013558 , 0.010677 , 0.010004 , 0.019235 , 0.020202 , 0.012681 , 0.015576 , 0.01167 , 0.009489 , 0.013173 , 0.014103 , 0.006102 , 0.00483 , 0.017141 , 0.013699 , 0.01605 , 0.01012 , 0.018648 
 360 , 0.008683 , 0.011579 , 0.013775 , 0.010731 , 0.010149 , 0.019146 , 0.020072 , 0.013355 , 0.016371 , 0.01135 , 0.009926 , 0.013382 , 0.014756 , 0.006761 , 0.005306 , 0.017453 , 0.014322 , 0.015511 , 0.010817 , 0.018807 
 361 , 0.008911 , 0.011643 , 0.013974 , 0.010766 , 0.010283 , 0.019076 , 0.019972 , 0.013995 , 0.017114 , 0.011084 , 0.010338 , 0.013569 , 0.015366 , 0.007428 , 0.005758 , 0.017734 , 0.014903 , 0.015056 , 0.011489 , 0.018957 
 362 , 0.009196 , 0.011674 , 0.014051 , 0.010792 , 0.010446 , 0.019172 , 0.01998 , 0.014438 , 0.017682 , 0.010922 , 0.010596 , 0.013639 , 0.01572 , 0.007963 , 0.00614 , 0.017986 , 0.01527 , 0.01476 , 0.011963 , 0.018993 
 363 , 0.009726 , 0.011579 , 0.0137 , 0.010801 , 0.010728 , 0.019887 , 0.020343 , 0.014179 , 0.017691 , 0.011012 , 0.010304 , 0.013305 , 0.015193 , 0.007906 , 0.006312 , 0.018201 , 0.014901 , 0.014869 , 0.0117 , 0.018606 
 364 , 0.010201 , 0.011486 , 0.013381 , 0.010805 , 0.010979 , 0.020571 , 0.020681 , 0.013942 , 0.017692 , 0.01109 , 0.010058 , 0.013007 , 0.014715 , 0.007854 , 0.006472 , 0.018398 , 0.014568 , 0.014966 , 0.011474 , 0.018252 
 365 , 0.010629 , 0.011396 , 0.01309 , 0.010804 , 0.011203 , 0.021226 , 0.020994 , 0.013723 , 0.017688 , 0.011158 , 0.009846 , 0.012739 , 0.014279 , 0.007806 , 0.006621 , 0.018578 , 0.014267 , 0.015051 , 0.011276 , 0.017927 
 366 , 0.010568 , 0.011535 , 0.013283 , 0.011114 , 0.011203 , 0.020956 , 0.021015 , 0.013964 , 0.017957 , 0.011642 , 0.010181 , 0.013111 , 0.014388 , 0.007998 , 0.006734 , 0.018681 , 0.014613 , 0.014968 , 0.011464 , 0.017975 
 367 , 0.010414 , 0.011712 , 0.013564 , 0.011482 , 0.011149 , 0.020518 , 0.020969 , 0.01429 , 0.018262 , 0.012218 , 0.01063 , 0.013608 , 0.014602 , 0.008235 , 0.006831 , 0.018759 , 0.015084 , 0.01486 , 0.01172 , 0.018086 
 368 , 0.010269 , 0.011877 , 0.013828 , 0.011833 , 0.011087 , 0.020119 , 0.020922 , 0.0146 , 0.018541 , 0.012784 , 0.011068 , 0.014086 , 0.014803 , 0.00846 , 0.006917 , 0.018828 , 0.015532 , 0.014768 , 0.011954 , 0.018179 
 369 , 0.010203 , 0.011988 , 0.013914 , 0.011993 , 0.011079 , 0.020204 , 0.021246 , 0.014659 , 0.018633 , 0.012902 , 0.011168 , 0.014422 , 0.015101 , 0.008538 , 0.00681 , 0.018915 , 0.015696 , 0.014977 , 0.012173 , 0.018231 
 370 , 0.010222 , 0.012039 , 0.013787 , 0.011921 , 0.011138 , 0.020859 , 0.022032 , 0.014419 , 0.018516 , 0.012478 , 0.01085 , 0.014587 , 0.015523 , 0.008441 , 0.00648 , 0.019014 , 0.01551 , 0.015554 , 0.012374 , 0.018235 
 371 , 0.010226 , 0.012086 , 0.013651 , 0.011845 , 0.011196 , 0.021481 , 0.022798 , 0.014179 , 0.01842 , 0.012098 , 0.01054 , 0.014742 , 0.01592 , 0.008349 , 0.006168 , 0.019078 , 0.01531 , 0.016117 , 0.012563 , 0.018226 
 372 , 0.010223 , 0.01214 , 0.013524 , 0.011766 , 0.011239 , 0.022033 , 0.023449 , 0.013977 , 0.01834 , 0.011794 , 0.010277 , 0.014872 , 0.016273 , 0.008264 , 0.005894 , 0.019136 , 0.015129 , 0.016632 , 0.012732 , 0.018219 
 373 , 0.010297 , 0.012289 , 0.01352 , 0.011679 , 0.011111 , 0.021793 , 0.022615 , 0.014195 , 0.018327 , 0.012036 , 0.010501 , 0.014722 , 0.016185 , 0.008292 , 0.005929 , 0.019401 , 0.015328 , 0.016574 , 0.01279 , 0.018285 
 374 , 0.010355 , 0.012447 , 0.013558 , 0.011604 , 0.011001 , 0.02164 , 0.021968 , 0.014432 , 0.018295 , 0.012281 , 0.010728 , 0.014607 , 0.016134 , 0.008297 , 0.005965 , 0.019673 , 0.015511 , 0.016532 , 0.012812 , 0.018399 
 375 , 0.0104 , 0.012612 , 0.013628 , 0.011537 , 0.010904 , 0.02155 , 0.021447 , 0.014681 , 0.018249 , 0.012527 , 0.010958 , 0.014518 , 0.016111 , 0.008283 , 0.006001 , 0.01995 , 0.01568 , 0.016501 , 0.012806 , 0.018548 
 376 , 0.010549 , 0.01237 , 0.013934 , 0.011472 , 0.011084 , 0.021829 , 0.022142 , 0.014966 , 0.018632 , 0.012725 , 0.010957 , 0.014708 , 0.016058 , 0.008415 , 0.006197 , 0.020398 , 0.01577 , 0.016509 , 0.012804 , 0.018854 
 377 , 0.010731 , 0.011993 , 0.014264 , 0.011404 , 0.011333 , 0.022164 , 0.023174 , 0.0152 , 0.019136 , 0.012876 , 0.010875 , 0.014994 , 0.016022 , 0.008622 , 0.006434 , 0.020833 , 0.015823 , 0.016523 , 0.012866 , 0.01914 
 378 , 0.010907 , 0.011645 , 0.014531 , 0.011336 , 0.011545 , 0.022424 , 0.024069 , 0.015379 , 0.019598 , 0.013007 , 0.010808 , 0.015267 , 0.016016 , 0.008844 , 0.006647 , 0.0212 , 0.015874 , 0.016533 , 0.012983 , 0.019356 
 379 , 0.010979 , 0.011556 , 0.014629 , 0.011407 , 0.011711 , 0.022676 , 0.024711 , 0.015472 , 0.01988 , 0.013114 , 0.010817 , 0.01553 , 0.016135 , 0.008996 , 0.006725 , 0.021436 , 0.015933 , 0.016606 , 0.013118 , 0.019517 
 380 , 0.010883 , 0.011943 , 0.014433 , 0.011763 , 0.011825 , 0.023021 , 0.024954 , 0.015478 , 0.019817 , 0.013185 , 0.010973 , 0.015722 , 0.016463 , 0.009012 , 0.006554 , 0.02145 , 0.016015 , 0.016799 , 0.01321 , 0.019589 
 381 , 0.010835 , 0.0123 , 0.014225 , 0.012124 , 0.011948 , 0.023416 , 0.02518 , 0.015527 , 0.019731 , 0.013251 , 0.011133 , 0.015841 , 0.016774 , 0.009049 , 0.006392 , 0.021447 , 0.016108 , 0.016983 , 0.013262 , 0.019616 
 382 , 0.010812 , 0.012645 , 0.014011 , 0.012492 , 0.012078 , 0.023843 , 0.0254 , 0.015599 , 0.019633 , 0.013315 , 0.011297 , 0.015922 , 0.017079 , 0.009099 , 0.006233 , 0.021435 , 0.016207 , 0.017166 , 0.013295 , 0.019618 
 383 , 0.010831 , 0.012916 , 0.014522 , 0.01249 , 0.011866 , 0.023951 , 0.025726 , 0.016086 , 0.019855 , 0.01363 , 0.011641 , 0.016442 , 0.017391 , 0.00915 , 0.006331 , 0.02174 , 0.016487 , 0.017656 , 0.013391 , 0.020013 
 384 , 0.01084 , 0.013188 , 0.015047 , 0.012486 , 0.011645 , 0.02402 , 0.026087 , 0.016561 , 0.02008 , 0.013951 , 0.011962 , 0.016943 , 0.017676 , 0.009185 , 0.006427 , 0.022074 , 0.016764 , 0.018132 , 0.013478 , 0.020403 
 385 , 0.010841 , 0.013463 , 0.01556 , 0.012489 , 0.011427 , 0.024074 , 0.026466 , 0.017017 , 0.020299 , 0.014269 , 0.012264 , 0.017423 , 0.017946 , 0.009212 , 0.006516 , 0.022419 , 0.017034 , 0.01859 , 0.01356 , 0.020781 
 386 , 0.010935 , 0.01368 , 0.01588 , 0.012573 , 0.011609 , 0.024426 , 0.027006 , 0.017395 , 0.020611 , 0.014442 , 0.012481 , 0.017827 , 0.018405 , 0.009478 , 0.006731 , 0.022802 , 0.017187 , 0.018866 , 0.013918 , 0.02115 
 387 , 0.011088 , 0.013845 , 0.016061 , 0.012703 , 0.012048 , 0.024967 , 0.027626 , 0.017709 , 0.020975 , 0.014508 , 0.012633 , 0.018161 , 0.018966 , 0.009894 , 0.007019 , 0.023191 , 0.017251 , 0.019009 , 0.014445 , 0.021498 
 388 , 0.011233 , 0.014002 , 0.016235 , 0.012825 , 0.012462 , 0.025484 , 0.028212 , 0.01801 , 0.021317 , 0.014565 , 0.012775 , 0.018473 , 0.01949 , 0.010287 , 0.007289 , 0.023553 , 0.017305 , 0.019138 , 0.014945 , 0.021825 
 389 , 0.011451 , 0.014185 , 0.016419 , 0.013 , 0.012868 , 0.025992 , 0.028719 , 0.018314 , 0.021652 , 0.014764 , 0.01299 , 0.018786 , 0.019941 , 0.010614 , 0.007517 , 0.023932 , 0.017408 , 0.019295 , 0.015379 , 0.022156 
 390 , 0.011946 , 0.014486 , 0.016658 , 0.013379 , 0.013304 , 0.026543 , 0.029033 , 0.018663 , 0.022005 , 0.015459 , 0.01348 , 0.019162 , 0.020233 , 0.010773 , 0.007635 , 0.024421 , 0.0177 , 0.01957 , 0.015662 , 0.022541 
 391 , 0.012419 , 0.014772 , 0.016884 , 0.013741 , 0.013718 , 0.027061 , 0.029329 , 0.018992 , 0.022336 , 0.016122 , 0.013944 , 0.019514 , 0.020502 , 0.010921 , 0.007746 , 0.024888 , 0.017977 , 0.019832 , 0.015933 , 0.022908 
 392 , 0.01287 , 0.015042 , 0.017103 , 0.014089 , 0.014114 , 0.027548 , 0.029606 , 0.019304 , 0.02265 , 0.016757 , 0.014387 , 0.019847 , 0.020754 , 0.01106 , 0.00785 , 0.025334 , 0.018243 , 0.020081 , 0.016192 , 0.023257 
 393 , 0.013167 , 0.015261 , 0.017437 , 0.014394 , 0.014388 , 0.028303 , 0.030431 , 0.019814 , 0.023119 , 0.017128 , 0.014793 , 0.020412 , 0.021229 , 0.011515 , 0.008342 , 0.025713 , 0.018777 , 0.020663 , 0.016453 , 0.023595 
 394 , 0.013418 , 0.015457 , 0.017765 , 0.014673 , 0.014621 , 0.029041 , 0.031283 , 0.02032 , 0.023579 , 0.017432 , 0.015164 , 0.020973 , 0.021703 , 0.011985 , 0.008861 , 0.026055 , 0.019317 , 0.021257 , 0.016695 , 0.023908 
 395 , 0.013651 , 0.015635 , 0.018068 , 0.014929 , 0.014837 , 0.029725 , 0.03207 , 0.020785 , 0.024001 , 0.01771 , 0.015505 , 0.021489 , 0.022142 , 0.012419 , 0.009339 , 0.02637 , 0.019814 , 0.021806 , 0.016918 , 0.024196 
 396 , 0.013964 , 0.015956 , 0.018436 , 0.01532 , 0.015165 , 0.030427 , 0.032949 , 0.021239 , 0.024342 , 0.01801 , 0.015908 , 0.022076 , 0.022687 , 0.012823 , 0.009563 , 0.026807 , 0.020233 , 0.022269 , 0.017259 , 0.024576 
 397 , 0.014336 , 0.016388 , 0.018847 , 0.015817 , 0.015577 , 0.031112 , 0.033872 , 0.02166 , 0.02459 , 0.01831 , 0.016351 , 0.022703 , 0.023306 , 0.013182 , 0.009537 , 0.027331 , 0.02056 , 0.022633 , 0.017694 , 0.025021 
 398 , 0.014656 , 0.016764 , 0.019203 , 0.016249 , 0.015937 , 0.031705 , 0.034672 , 0.022027 , 0.024807 , 0.01857 , 0.016733 , 0.023247 , 0.023841 , 0.013492 , 0.009514 , 0.027788 , 0.020843 , 0.022948 , 0.018069 , 0.02541 
 399 , 0.014947 , 0.017122 , 0.019544 , 0.016622 , 0.016262 , 0.032226 , 0.035363 , 0.022391 , 0.025036 , 0.018843 , 0.017074 , 0.023738 , 0.024333 , 0.01376 , 0.00954 , 0.028212 , 0.021105 , 0.023252 , 0.0184 , 0.025785 
 400 , 0.01527 , 0.017658 , 0.020067 , 0.016918 , 0.016657 , 0.032694 , 0.035924 , 0.023039 , 0.025553 , 0.019426 , 0.017406 , 0.024282 , 0.024945 , 0.013987 , 0.009922 , 0.02877 , 0.02143 , 0.023741 , 0.018707 , 0.026414 
 401 , 0.015555 , 0.018135 , 0.020528 , 0.017182 , 0.017004 , 0.033107 , 0.03642 , 0.023613 , 0.026012 , 0.019942 , 0.017702 , 0.024764 , 0.025486 , 0.014184 , 0.010261 , 0.029268 , 0.021718 , 0.024172 , 0.018977 , 0.026968 
 402 , 0.01581 , 0.01856 , 0.020937 , 0.017415 , 0.017317 , 0.033477 , 0.036862 , 0.024125 , 0.02642 , 0.020401 , 0.017964 , 0.025193 , 0.025969 , 0.014362 , 0.010561 , 0.02971 , 0.021978 , 0.024558 , 0.019219 , 0.027464 
 403 , 0.016072 , 0.018781 , 0.02123 , 0.01769 , 0.0176 , 0.034053 , 0.037427 , 0.024592 , 0.026804 , 0.020768 , 0.018253 , 0.025626 , 0.026426 , 0.014685 , 0.010798 , 0.030135 , 0.022205 , 0.024952 , 0.019596 , 0.027782 
 404 , 0.016325 , 0.018935 , 0.021479 , 0.017964 , 0.017866 , 0.034666 , 0.038006 , 0.025028 , 0.027168 , 0.021095 , 0.018535 , 0.026043 , 0.026861 , 0.015037 , 0.011006 , 0.03054 , 0.022421 , 0.025335 , 0.020004 , 0.028031 
 405 , 0.016561 , 0.019076 , 0.021707 , 0.018221 , 0.018115 , 0.035242 , 0.038551 , 0.025437 , 0.027508 , 0.021401 , 0.018796 , 0.026434 , 0.027264 , 0.015365 , 0.011197 , 0.03092 , 0.02262 , 0.025694 , 0.020382 , 0.028264 
 406 , 0.016842 , 0.019298 , 0.021988 , 0.0185 , 0.018415 , 0.035785 , 0.039166 , 0.025837 , 0.02784 , 0.021714 , 0.019145 , 0.026856 , 0.027667 , 0.015696 , 0.011385 , 0.031331 , 0.022913 , 0.026071 , 0.020724 , 0.028553 
 407 , 0.017196 , 0.019645 , 0.022359 , 0.018835 , 0.018805 , 0.036308 , 0.039918 , 0.026242 , 0.028164 , 0.022057 , 0.019641 , 0.027341 , 0.028088 , 0.016041 , 0.011576 , 0.031816 , 0.023373 , 0.026502 , 0.021023 , 0.028934 
 408 , 0.017534 , 0.019973 , 0.022708 , 0.019152 , 0.019176 , 0.036799 , 0.040634 , 0.026625 , 0.028473 , 0.022382 , 0.020109 , 0.027801 , 0.028486 , 0.016368 , 0.011756 , 0.032274 , 0.023808 , 0.026908 , 0.021309 , 0.029297 
