JUN24HTH00005.spu,JUN24HTH00004.spu,JUN24HTH00003.spu,
Wavelength,JUN24HTH00006.spu,JUN24HTH00007.spu,JUN24HTH00008.spu,JUN24HTH00009.spu,JUN24HTH00010.spu,JUN24HTH00011.spu,JUN24HTH00012.spu,JUN24HTH00013.spu,JUN24HTH00014.spu,JUN24HTH00015.spu,JUN24HTH00016.spu,JUN24HTH00017.spu,JUN24HTH00018.spu,JUN24HTH00019.spu,JUN24HTH00020.spu,JUN24HTH00021.spu,JUN24HTH00022.spu,JUN24HTH00023.spu,JUN24HTH00024.spu,JUN24HTH00025.spu,JUN24HTH00026.spu,JUN24HTH00027.spu,JUN24HTH00028.spu,JUN24HTH00029.spu,JUN24HTH00030.spu,JUN24HTH00031.spu,JUN24HTH00032.spu,JUN24HTH00033.spu,JUN24HTH00034.spu,JUN24HTH00035.spu,JUN24HTH00036.spu,JUN24HTH00037.spu,JUN24HTH00038.spu,JUN24HTH00039.spu,JUN24HTH00040.spu,JUN24HTH00041.spu,JUN24HTH00042.spu,JUN24HTH00043.spu,JUN24HTH00044.spu,JUN24HTH00045.spu,JUN24HTH00046.spu,JUN24HTH00047.spu,JUN24HTH00048.spu,JUN24HTH00049.spu,JUN24HTH00050.spu,JUN24HTH00051.spu,JUN24HTH00052.spu,JUN24HTH00053.spu,JUN24HTH00054.spu,JUN24HTH00055.spu,JUN24HTH00056.spu,JUN24HTH00057.spu,JUN24HTH00058.spu,JUN24HTH00059.spu,JUN24HTH00060.spu,JUN24HTH00061.spu,JUN24HTH00062.spu,JUN24HTH00063.spu,JUN24HTH00064.spu,JUN24HTH00065.spu
 316 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.097196 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.097196 , 0 , 0 , 2.097196 , 0 , 0 , 0 , 0 , 2.097196 , 0 , 0 , 0 , 2.097196 , 0 , 0 , 2.097196 , 0 , 0 , 2.097196 , 0 , 0 , 0 , 0 , 0 , 2.097196 , 0 , 0 , 0 , 2.097196 , 0 , 2.097196 , 0 , 0 , 0 , 0 , 0 , 2.097196 , 2.097196 , 2.097196 , 2.097196 , 2.097196 , 2.097196 
 317 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.246894 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.246894 , 0 , 0 , 2.246894 , 0 , 0 , 0 , 0 , 2.246894 , 0 , 0 , 0 , 2.246894 , 0 , 0 , 2.246894 , 0 , 0 , 2.246894 , 0 , 0 , 0 , 0 , 0 , 2.246894 , 0 , 0 , 0 , 2.246894 , 0 , 2.246894 , 0 , 0 , 0 , 0 , 0 , 2.246894 , 2.246894 , 2.246894 , 2.246894 , 2.246894 , 2.246894 
 318 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000019 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.31733 , 2.31733 , 2.31733 , 2.31733 
 319 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000422 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4.081256 , 4.081256 , 4.081256 , 4.081256 
 320 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001133 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5.051818 , 5.051818 , 5.051818 , 5.051818 
 321 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002154 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5.617691 , 5.617691 , 5.617691 , 5.617691 
 322 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001067 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000668 , 0.008295 , 0.00307 , 0 , 0 , 0.001225 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.018146 , 0 , 0 , 0 , 0 , 0.002174 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000114 , 0.007135 , 0 , 0 , 0 , 6.191232 , 6.191232 , 6.191232 , 6.191232 
 323 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002389 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001527 , 0.01541 , 0.003885 , 0 , 0 , 0.002574 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.065268 , 0 , 0 , 0 , 0 , 0.00485 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000247 , 0.007933 , 0 , 0 , 0 , 6.623874 , 6.623874 , 6.623874 , 6.623874 
 324 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003521 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002289 , 0.021445 , 0.004278 , 0 , 0 , 0.003622 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.182452 , 0 , 0 , 0 , 0 , 0.007128 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000355 , 0.008399 , 0 , 0 , 0 , 6.939553 , 6.939553 , 6.939553 , 6.939553 
 325 , 0 , 0 , 0.000139 , 0 , 0 , 0.00206 , 0.005318 , 0.001016 , 0 , 0.001497 , 0.000886 , 0 , 0 , 0 , 0 , 0.003955 , 0.026705 , 0.006127 , 0 , 0.000672 , 0.005801 , 0 , 0.00019 , 0 , 0.00038 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0011 , 0.002558 , 0.147273 , 0 , 0.00021 , 0 , 0.000636 , 0.008149 , 0.000485 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001707 , 0.010541 , 0.000673 , 0 , 0.001394 , 0.014401 , 0.001044 , 0 , 7.174823 
 326 , 0 , 0 , 0.00051 , 0 , 0 , 0.006752 , 0.008279 , 0.003907 , 0 , 0.005683 , 0.003151 , 0 , 0 , 0 , 0 , 0.007167 , 0.031243 , 0.010146 , 0 , 0.002598 , 0.010043 , 0 , 0.000583 , 0 , 0.001338 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003834 , 0.005676 , 0.062482 , 0 , 0.000857 , 0 , 0.002274 , 0.007454 , 0.001522 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.004764 , 0.015299 , 0.002754 , 0 , 0.005339 , 0.016225 , 0.001176 , 0 , 7.310025 
 327 , 0 , 0 , 0.00083 , 0 , 0 , 0.01008 , 0.010738 , 0.006627 , 0 , 0.009521 , 0.004994 , 0 , 0 , 0 , 0 , 0.009902 , 0.034902 , 0.013246 , 0 , 0.004428 , 0.013677 , 0 , 0.000832 , 0 , 0.002107 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.005986 , 0.006929 , 0.042744 , 0 , 0.001542 , 0 , 0.003621 , 0.00689 , 0.002207 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.007029 , 0.019285 , 0.004961 , 0 , 0.009018 , 0.016674 , 0.001208 , 0 , 7.396882 
 328 , 0 , 0 , 0.001105 , 0 , 0 , 0.012548 , 0.01281 , 0.009159 , 0 , 0.013018 , 0.006511 , 0 , 0 , 0 , 0 , 0.012255 , 0.037889 , 0.015704 , 0 , 0.006154 , 0.016802 , 0 , 0.001005 , 0 , 0.002735 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.007714 , 0.007623 , 0.034012 , 0 , 0.002257 , 0 , 0.00474 , 0.006434 , 0.002701 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.008778 , 0.022663 , 0.007264 , 0 , 0.012391 , 0.016924 , 0.001232 , 0 , 7.453359 
 329 , 0 , 0 , 0.004111 , 0.000207 , 0 , 0.013282 , 0.015893 , 0.011 , 0.000883 , 0.014604 , 0.00756 , 0.000175 , 0.000406 , 0.001656 , 0.000556 , 0.015909 , 0.040053 , 0.01775 , 0.001016 , 0.009473 , 0.018232 , 0 , 0.002056 , 0 , 0.005384 , 0.000106 , 0.002561 , 0 , 0.000185 , 0 , 0 , 0 , 0.011111 , 0.010036 , 0.043245 , 0.001655 , 0.005092 , 0 , 0.00634 , 0.009105 , 0.00553 , 0.002524 , 0.001789 , 0 , 0.001625 , 0.001108 , 0 , 0.000774 , 0.002381 , 0 , 0 , 0.012077 , 0.026631 , 0.010658 , 0.002149 , 0.017607 , 0.023421 , 0.016475 , 0.013787 , 7.369764 
 330 , 0 , 0 , 0.006743 , 0.000358 , 0 , 0.013711 , 0.018961 , 0.012457 , 0.00167 , 0.015875 , 0.008331 , 0.00034 , 0.000806 , 0.003103 , 0.000901 , 0.019787 , 0.041571 , 0.019488 , 0.001707 , 0.012799 , 0.019324 , 0 , 0.003024 , 0 , 0.008149 , 0.000189 , 0.005554 , 0 , 0.000363 , 0 , 0 , 0 , 0.01402 , 0.011961 , 0.053742 , 0.003499 , 0.007639 , 0 , 0.007678 , 0.011765 , 0.009874 , 0.004916 , 0.003421 , 0 , 0.002947 , 0.002382 , 0 , 0.001433 , 0.004169 , 0 , 0 , 0.015623 , 0.030256 , 0.013264 , 0.003724 , 0.020827 , 0.027966 , 0.054005 , 0.025433 , 7.254503 
 331 , 0 , 0 , 0.008953 , 0.000467 , 0 , 0.013966 , 0.02203 , 0.013611 , 0.002339 , 0.01694 , 0.008898 , 0.000487 , 0.001182 , 0.00431 , 0.00112 , 0.023941 , 0.042609 , 0.021005 , 0.002174 , 0.016064 , 0.020199 , 0 , 0.003882 , 0 , 0.010952 , 0.00025 , 0.008944 , 0 , 0.000525 , 0 , 0 , 0 , 0.016452 , 0.013472 , 0.065692 , 0.005475 , 0.009839 , 0 , 0.008777 , 0.01431 , 0.017348 , 0.007076 , 0.004841 , 0 , 0.003982 , 0.0038 , 0 , 0.00197 , 0.005479 , 0 , 0 , 0.019456 , 0.033588 , 0.015223 , 0.004854 , 0.022819 , 0.031103 , 0.28553 , 0.034866 , 7.126005 
 332 , 0.000906 , 0 , 0.010159 , 0.001672 , 0 , 0.015522 , 0.024037 , 0.015087 , 0.003328 , 0.017778 , 0.010429 , 0.001452 , 0.002141 , 0.006017 , 0.002075 , 0.0255 , 0.045439 , 0.022799 , 0.003363 , 0.018309 , 0.021138 , 0 , 0.005684 , 0.000628 , 0.01376 , 0.001334 , 0.009903 , 0.0012 , 0.001522 , 0.000292 , 0 , 0.000524 , 0.019056 , 0.016025 , 0.065573 , 0.007458 , 0.011659 , 0 , 0.01063 , 0.016698 , 0.019264 , 0.009037 , 0.006462 , 0 , 0.005533 , 0.005236 , 0 , 0.003272 , 0.006962 , 0.000885 , 0.000989 , 0.021331 , 0.036103 , 0.016779 , 0.006672 , 0.026479 , 0.031366 , 0.093535 , 0.031006 , 7.154332 
 333 , 0.002197 , 0 , 0.010742 , 0.003695 , 0 , 0.017898 , 0.025226 , 0.016716 , 0.004429 , 0.018465 , 0.012476 , 0.002855 , 0.003307 , 0.007689 , 0.003454 , 0.025366 , 0.049276 , 0.024677 , 0.005029 , 0.019738 , 0.022112 , 0 , 0.008244 , 0.001448 , 0.016367 , 0.003002 , 0.0094 , 0.003249 , 0.002863 , 0.000714 , 0 , 0.001401 , 0.02168 , 0.019299 , 0.060049 , 0.009141 , 0.013078 , 0 , 0.013007 , 0.018795 , 0.017241 , 0.010725 , 0.008051 , 0 , 0.00726 , 0.006238 , 0 , 0.005068 , 0.008545 , 0.00205 , 0.002565 , 0.021798 , 0.037997 , 0.01805 , 0.009004 , 0.03107 , 0.030817 , 0.045624 , 0.026621 , 7.2595 
 334 , 0.003234 , 0 , 0.011235 , 0.005721 , 0 , 0.020183 , 0.026247 , 0.01816 , 0.005353 , 0.019047 , 0.014272 , 0.004084 , 0.004252 , 0.008923 , 0.004677 , 0.025278 , 0.052838 , 0.026297 , 0.006574 , 0.020996 , 0.022896 , 0 , 0.010853 , 0.002053 , 0.018725 , 0.004487 , 0.009089 , 0.005263 , 0.003949 , 0.001059 , 0 , 0.00224 , 0.023992 , 0.022426 , 0.05641 , 0.010543 , 0.014185 , 0 , 0.015288 , 0.020586 , 0.016202 , 0.012147 , 0.009359 , 0 , 0.008681 , 0.006913 , 0 , 0.00674 , 0.009934 , 0.002918 , 0.003994 , 0.022185 , 0.039644 , 0.019059 , 0.011203 , 0.035118 , 0.030532 , 0.034379 , 0.024664 , 7.34882 
 335 , 0.004313 , 0.000283 , 0.012143 , 0.007626 , 0.00035 , 0.022659 , 0.027479 , 0.019987 , 0.00653 , 0.020209 , 0.016299 , 0.005367 , 0.005239 , 0.010127 , 0.005967 , 0.025907 , 0.055958 , 0.028068 , 0.008074 , 0.022447 , 0.024256 , 0.000043 , 0.013288 , 0.002894 , 0.021027 , 0.006042 , 0.009432 , 0.007158 , 0.005257 , 0.001809 , 0.000356 , 0.003114 , 0.02605 , 0.025275 , 0.054984 , 0.01205 , 0.015291 , 0.000215 , 0.017634 , 0.022669 , 0.016348 , 0.013612 , 0.010676 , 0.000241 , 0.010035 , 0.007722 , 0.000368 , 0.008288 , 0.011266 , 0.003872 , 0.005329 , 0.023362 , 0.041082 , 0.020712 , 0.013413 , 0.037954 , 0.031342 , 0.030674 , 0.023759 , 1.508975 
 336 , 0.006164 , 0.001709 , 0.014734 , 0.009009 , 0.002129 , 0.026072 , 0.029763 , 0.023642 , 0.009058 , 0.023623 , 0.019794 , 0.007282 , 0.006817 , 0.011955 , 0.007888 , 0.028771 , 0.058297 , 0.03081 , 0.00971 , 0.02496 , 0.027857 , 0.000238 , 0.014903 , 0.005054 , 0.023669 , 0.008274 , 0.011692 , 0.008631 , 0.008054 , 0.00414 , 0.001942 , 0.004145 , 0.027905 , 0.027448 , 0.057363 , 0.014501 , 0.016898 , 0.0012 , 0.020451 , 0.026414 , 0.019006 , 0.015755 , 0.012572 , 0.001558 , 0.011747 , 0.009495 , 0.002124 , 0.009668 , 0.012818 , 0.005755 , 0.006618 , 0.027374 , 0.042419 , 0.025172 , 0.015972 , 0.038114 , 0.035107 , 0.032014 , 0.023842 , 0.349653 
 337 , 0.008062 , 0.003155 , 0.017184 , 0.010151 , 0.003955 , 0.029353 , 0.031755 , 0.027456 , 0.011459 , 0.026915 , 0.023526 , 0.009093 , 0.0082 , 0.013549 , 0.009712 , 0.031416 , 0.06029 , 0.033341 , 0.011288 , 0.027131 , 0.031434 , 0.000402 , 0.016307 , 0.007083 , 0.026079 , 0.01028 , 0.013877 , 0.009799 , 0.010885 , 0.006129 , 0.003267 , 0.004954 , 0.029465 , 0.029406 , 0.059379 , 0.016718 , 0.018259 , 0.002057 , 0.023101 , 0.030213 , 0.021611 , 0.017798 , 0.014225 , 0.003091 , 0.013267 , 0.011284 , 0.003754 , 0.01089 , 0.014066 , 0.007549 , 0.007626 , 0.0313 , 0.04351 , 0.029847 , 0.018261 , 0.03821 , 0.038464 , 0.033045 , 0.023876 , 0.22525 
 338 , 0.010007 , 0.00462 , 0.019505 , 0.01111 , 0.005828 , 0.032511 , 0.033504 , 0.031443 , 0.013744 , 0.030091 , 0.027523 , 0.010806 , 0.009419 , 0.01495 , 0.011444 , 0.033866 , 0.062005 , 0.035683 , 0.01281 , 0.029022 , 0.03499 , 0.000544 , 0.017537 , 0.008993 , 0.028285 , 0.012091 , 0.01599 , 0.010746 , 0.013749 , 0.007844 , 0.004386 , 0.005603 , 0.030793 , 0.031179 , 0.061105 , 0.018731 , 0.019422 , 0.002806 , 0.025599 , 0.034068 , 0.024163 , 0.019747 , 0.015677 , 0.004897 , 0.014626 , 0.01309 , 0.005268 , 0.011979 , 0.015089 , 0.009259 , 0.008433 , 0.035142 , 0.044411 , 0.034756 , 0.020318 , 0.038263 , 0.041472 , 0.033856 , 0.023881 , 0.177515 
 339 , 0.010294 , 0.005118 , 0.02044 , 0.01139 , 0.006925 , 0.03293 , 0.034613 , 0.031128 , 0.014605 , 0.030823 , 0.027064 , 0.011346 , 0.011136 , 0.015211 , 0.012673 , 0.035244 , 0.062806 , 0.036754 , 0.013693 , 0.030266 , 0.035681 , 0.001194 , 0.017732 , 0.01017 , 0.026786 , 0.013367 , 0.017728 , 0.0117 , 0.014057 , 0.00874 , 0.006059 , 0.00665 , 0.030603 , 0.031038 , 0.058293 , 0.019064 , 0.019991 , 0.00399 , 0.026332 , 0.032596 , 0.025838 , 0.020783 , 0.015926 , 0.006211 , 0.015801 , 0.013078 , 0.006673 , 0.013096 , 0.016972 , 0.01018 , 0.009294 , 0.036669 , 0.044579 , 0.033244 , 0.019349 , 0.037442 , 0.042711 , 0.036881 , 0.02652 , 0.135051 
 340 , 0.010255 , 0.005332 , 0.020985 , 0.0115 , 0.007695 , 0.032838 , 0.035447 , 0.030221 , 0.015119 , 0.031044 , 0.026059 , 0.011575 , 0.012948 , 0.015235 , 0.013676 , 0.036304 , 0.063309 , 0.03747 , 0.014325 , 0.031268 , 0.035801 , 0.001822 , 0.017701 , 0.010965 , 0.025159 , 0.01442 , 0.019298 , 0.012545 , 0.013894 , 0.009326 , 0.007522 , 0.007687 , 0.03018 , 0.030608 , 0.055408 , 0.019057 , 0.020352 , 0.005175 , 0.026645 , 0.030792 , 0.027191 , 0.021518 , 0.015928 , 0.007163 , 0.016776 , 0.012795 , 0.008022 , 0.01408 , 0.019037 , 0.010815 , 0.010044 , 0.037658 , 0.044539 , 0.031213 , 0.018191 , 0.036575 , 0.043456 , 0.039918 , 0.029601 , 0.111597 
