
Wavelength,SHB1_00006_B1_NP.spu,SHB1_00007_B1_NP.spu,SHB1_00008_B1_NP.spu,SHB1_00009_B1_NP.spu,SHB1_00010_B1_NP.spu,SHB1_00011_B1_P.spu,SHB1_00012_B1_P.spu,SHB1_00013_B1_P.spu,SHB1_00014_B1_P.spu,SHB1_00015_B1_P.spu,SHB1_00016_B1_N.spu,SHB1_00017_B1_N.spu,SHB1_00018_B1_N.spu,SHB1_00019_B1_N.spu,SHB1_00020_B1_N.spu,SHB1_00021_B1_CT2.spu,SHB1_00022_B1_CT2.spu,SHB1_00023_B1_CT2.spu,SHB1_00024_B1_CT2.spu,SHB1_00025_B1_CT2.spu
  (nm),7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2
  time  ,4:06 PM",4:33 PM",5:04 PM",5:27 PM",5:47 PM",6:34 PM",6:59 PM",8:21 PM",8:41 PM",9:11 PM",0:17 PM",1:06 PM",1:25 PM",1:47 PM",2:17 PM",3:39 PM",4:03 PM",4:26 PM",4:48 PM",5:04 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0 , 0.03045 , 0 , 0.01188 , 0 , 0 , 0.0073 , 0 , 0 , 0.02982 , 0 , 0.00777 , 0.01529 , 0.02251 , 0 , 0 , 0 , 0 , 0.00779 
 311 , 0 , 0 , 0.04352 , 0 , 0.01154 , 0 , 0 , 0.01043 , 0 , 0 , 0.04298 , 0 , 0.01127 , 0.02204 , 0.03234 , 0 , 0 , 0 , 0 , 0.01115 
 312 , 0.00574 , 0 , 0.04507 , 0.00585 , 0.02247 , 0.00704 , 0 , 0.00803 , 0 , 0.00333 , 0.04128 , 0.01116 , 0.01741 , 0.02821 , 0.04128 , 0.00592 , 0.00286 , 0.01149 , 0.00293 , 0.01727 
 313 , 0.01217 , 0 , 0.0448 , 0.01237 , 0.0348 , 0.01517 , 0 , 0.0048 , 0 , 0.00707 , 0.03742 , 0.02359 , 0.02376 , 0.03408 , 0.04963 , 0.01251 , 0.00613 , 0.02443 , 0.00618 , 0.02364 
 314 , 0.01836 , 0 , 0.04454 , 0.01859 , 0.04664 , 0.02323 , 0 , 0.00163 , 0 , 0.01067 , 0.03373 , 0.03546 , 0.02985 , 0.03968 , 0.05746 , 0.01879 , 0.00934 , 0.03695 , 0.00929 , 0.02981 
 315 , 0.01842 , 0.00452 , 0.04578 , 0.02487 , 0.05446 , 0.0233 , 0 , 0.01028 , 0.002 , 0.01243 , 0.03512 , 0.0402 , 0.03152 , 0.04406 , 0.0634 , 0.02354 , 0.0094 , 0.04184 , 0.00931 , 0.03146 
 316 , 0.01203 , 0.01388 , 0.04857 , 0.03141 , 0.05815 , 0.01503 , 0 , 0.0315 , 0.00613 , 0.01229 , 0.04184 , 0.03748 , 0.02844 , 0.04721 , 0.06744 , 0.02679 , 0.00612 , 0.03876 , 0.00608 , 0.0283 
 317 , 0.00568 , 0.02319 , 0.05131 , 0.038 , 0.06187 , 0.00701 , 0 , 0.05246 , 0.01023 , 0.01216 , 0.04869 , 0.03474 , 0.02532 , 0.05036 , 0.07155 , 0.03004 , 0.00288 , 0.0357 , 0.00287 , 0.02511 
 318 , 0.00217 , 0.0334 , 0.05558 , 0.04449 , 0.06605 , 0.00265 , 0 , 0.0735 , 0.01546 , 0.01379 , 0.05639 , 0.03382 , 0.02372 , 0.05565 , 0.07675 , 0.03485 , 0.00095 , 0.03449 , 0.00188 , 0.02346 
 319 , 0.02363 , 0.05216 , 0.07387 , 0.05017 , 0.07472 , 0.02903 , 0 , 0.09729 , 0.03107 , 0.03113 , 0.07113 , 0.04941 , 0.03618 , 0.08025 , 0.09174 , 0.05366 , 0.01042 , 0.04974 , 0.02057 , 0.03578 
 320 , 0.0447 , 0.07058 , 0.09192 , 0.05566 , 0.08317 , 0.05522 , 0 , 0.12079 , 0.04631 , 0.04836 , 0.08541 , 0.06499 , 0.04831 , 0.1047 , 0.10654 , 0.07224 , 0.01977 , 0.06461 , 0.03915 , 0.04779 
 321 , 0.06538 , 0.08864 , 0.10975 , 0.06099 , 0.09142 , 0.0812 , 0 , 0.14401 , 0.06119 , 0.06546 , 0.09925 , 0.08058 , 0.06014 , 0.12899 , 0.12116 , 0.09058 , 0.029 , 0.07911 , 0.05761 , 0.0595 
 322 , 0.07881 , 0.09677 , 0.12919 , 0.07285 , 0.10972 , 0.09581 , 0.02253 , 0.15291 , 0.07023 , 0.07685 , 0.11235 , 0.09387 , 0.0757 , 0.14203 , 0.12723 , 0.10107 , 0.04186 , 0.08925 , 0.06387 , 0.07321 
 323 , 0.08923 , 0.10103 , 0.14895 , 0.08705 , 0.13133 , 0.10584 , 0.05065 , 0.15634 , 0.0769 , 0.08581 , 0.12486 , 0.10575 , 0.09212 , 0.15058 , 0.13006 , 0.10839 , 0.05568 , 0.09761 , 0.06544 , 0.0874 
 324 , 0.09929 , 0.10512 , 0.16823 , 0.10099 , 0.15218 , 0.11559 , 0.07564 , 0.15965 , 0.08331 , 0.09441 , 0.13686 , 0.11688 , 0.10776 , 0.15872 , 0.13275 , 0.1154 , 0.06892 , 0.10577 , 0.06693 , 0.10116 
