  time  ,5:31 PM",5:39 PM",5:52 PM",6:03 PM",6:12 PM",6:54 PM",7:00 PM",7:06 PM",7:13 PM",7:19 PM",8:14 PM",8:21 PM",8:28 PM",8:34 PM",8:41 PM",9:47 PM",9:53 PM",0:00 PM",0:07 PM",0:15 PM",1:29 PM",1:34 PM",1:40 PM",1:45 PM",1:58 PM",2:59 PM",3:05 PM",3:11 PM",3:17 PM",3:23 PM",4:12 PM",4:17 PM",4:23 PM",4:29 PM",4:35 PM",5:26 PM",5:32 PM",5:37 PM",5:44 PM",5:51 PM",7:06 PM",7:11 PM",7:17 PM",7:22 PM",7:31 PM",8:59 PM",9:05 PM",9:11 PM",9:18 PM",9:25 PM",0:08 PM",0:13 PM",0:20 PM",0:27 PM",0:34 PM",1:15 PM",1:20 PM",1:27 PM",1:33 PM",1:40 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 489 , 0.033731 , 0.045173 , 0.04901 , 0.073057 , 0.068133 , 0.073996 , 0.06037 , 0.043398 , 0.071626 , 0.090181 , 0.046701 , 0.043851 , 0.049993 , 0.04592 , 0.042154 , 0.073772 , 0.065136 , 0.073193 , 0.040789 , 0.063089 , 0.087446 , 0.082915 , 0.080071 , 0.082184 , 0.095182 , 0.030701 , 0.034522 , 0.035112 , 0.030237 , 0.039146 , 0.034178 , 0.048857 , 0.085181 , 0.097807 , 0.086955 , 0.049834 , 0.075202 , 0.032415 , 0.094248 , 0.066178 , 0.048377 , 0.026792 , 0.042852 , 0.06762 , 0.04621 , 0.094756 , 0.042405 , 0.065562 , 0.063995 , 0.106236 , 0.048535 , 0.062128 , 0.077648 , 0.067117 , 0.048421 , 0.093304 , 0.092419 , 0.097272 , 0.077151 , 0.089062 
 490 , 0.034 , 0.045604 , 0.049468 , 0.073753 , 0.068778 , 0.074426 , 0.060765 , 0.043726 , 0.072111 , 0.090731 , 0.047027 , 0.044186 , 0.050289 , 0.04625 , 0.042462 , 0.074268 , 0.065571 , 0.073633 , 0.041066 , 0.06348 , 0.088132 , 0.083715 , 0.080737 , 0.082976 , 0.096095 , 0.030908 , 0.03475 , 0.035341 , 0.030437 , 0.039397 , 0.034444 , 0.049249 , 0.085762 , 0.098427 , 0.087644 , 0.050125 , 0.075696 , 0.032709 , 0.094886 , 0.06666 , 0.048702 , 0.026973 , 0.043196 , 0.068231 , 0.046584 , 0.095367 , 0.042676 , 0.066041 , 0.064449 , 0.106878 , 0.048855 , 0.062555 , 0.078159 , 0.067525 , 0.048778 , 0.093862 , 0.092992 , 0.097869 , 0.077634 , 0.089626 
 491 , 0.034319 , 0.046272 , 0.05009 , 0.074728 , 0.069735 , 0.075097 , 0.061376 , 0.044194 , 0.072865 , 0.091634 , 0.047489 , 0.044629 , 0.050862 , 0.046685 , 0.042899 , 0.075025 , 0.066269 , 0.074369 , 0.041499 , 0.064092 , 0.089116 , 0.084795 , 0.081698 , 0.084112 , 0.097332 , 0.031173 , 0.035085 , 0.035702 , 0.030782 , 0.03978 , 0.034887 , 0.049842 , 0.086647 , 0.099382 , 0.088625 , 0.050669 , 0.076469 , 0.033085 , 0.095822 , 0.06741 , 0.049198 , 0.027183 , 0.043654 , 0.069074 , 0.047153 , 0.096334 , 0.043097 , 0.066743 , 0.065128 , 0.107879 , 0.049412 , 0.063172 , 0.078877 , 0.068192 , 0.049335 , 0.094747 , 0.093855 , 0.098853 , 0.078425 , 0.090521 
 492 , 0.034634 , 0.046939 , 0.050711 , 0.075698 , 0.070694 , 0.075764 , 0.06199 , 0.044659 , 0.073623 , 0.092529 , 0.047954 , 0.045069 , 0.051432 , 0.047122 , 0.043338 , 0.075775 , 0.066966 , 0.07511 , 0.041929 , 0.064708 , 0.090099 , 0.085872 , 0.08266 , 0.085251 , 0.098576 , 0.031433 , 0.035416 , 0.036065 , 0.031128 , 0.040159 , 0.035333 , 0.050434 , 0.087536 , 0.10034 , 0.0896 , 0.051216 , 0.077246 , 0.033452 , 0.096762 , 0.068158 , 0.049696 , 0.0274 , 0.044109 , 0.069917 , 0.047721 , 0.0973 , 0.043521 , 0.067443 , 0.065806 , 0.108873 , 0.049968 , 0.063792 , 0.079598 , 0.068863 , 0.049896 , 0.09563 , 0.094721 , 0.099836 , 0.079215 , 0.09142 
 493 , 0.03495 , 0.047605 , 0.051336 , 0.076668 , 0.071647 , 0.076434 , 0.062606 , 0.04512 , 0.074378 , 0.093428 , 0.048415 , 0.045511 , 0.052006 , 0.04756 , 0.043774 , 0.076534 , 0.06766 , 0.075847 , 0.042361 , 0.065325 , 0.091083 , 0.08695 , 0.083621 , 0.086391 , 0.099817 , 0.031699 , 0.035743 , 0.036424 , 0.031476 , 0.04054 , 0.035776 , 0.051028 , 0.088424 , 0.101303 , 0.09058 , 0.05176 , 0.07802 , 0.033822 , 0.097701 , 0.068911 , 0.050191 , 0.027611 , 0.044572 , 0.070754 , 0.048286 , 0.098265 , 0.043947 , 0.068146 , 0.066487 , 0.10987 , 0.050526 , 0.06441 , 0.080315 , 0.069531 , 0.050459 , 0.096511 , 0.095584 , 0.100817 , 0.080002 , 0.092317 
 494 , 0.035405 , 0.048169 , 0.052032 , 0.077599 , 0.072483 , 0.077082 , 0.063156 , 0.045574 , 0.074982 , 0.09417 , 0.04891 , 0.045883 , 0.052425 , 0.04804 , 0.044216 , 0.077167 , 0.068221 , 0.076448 , 0.042789 , 0.065896 , 0.091997 , 0.087965 , 0.08454 , 0.087392 , 0.101021 , 0.032064 , 0.036079 , 0.036831 , 0.031845 , 0.040925 , 0.03623 , 0.051617 , 0.089217 , 0.102116 , 0.091446 , 0.052274 , 0.078705 , 0.034299 , 0.098522 , 0.069552 , 0.050668 , 0.027908 , 0.045047 , 0.071546 , 0.048843 , 0.099078 , 0.044345 , 0.068822 , 0.067154 , 0.110775 , 0.051016 , 0.06502 , 0.081036 , 0.070074 , 0.051004 , 0.097292 , 0.09636 , 0.101616 , 0.080642 , 0.093013 
 495 , 0.035874 , 0.048735 , 0.05273 , 0.078525 , 0.073311 , 0.07773 , 0.063701 , 0.04602 , 0.075574 , 0.094896 , 0.049418 , 0.046252 , 0.052832 , 0.04852 , 0.04466 , 0.077792 , 0.068774 , 0.077047 , 0.043216 , 0.06646 , 0.09291 , 0.088977 , 0.085455 , 0.088384 , 0.102227 , 0.032437 , 0.036416 , 0.03724 , 0.032223 , 0.041308 , 0.036687 , 0.0522 , 0.090009 , 0.102915 , 0.092306 , 0.052781 , 0.079377 , 0.034785 , 0.099343 , 0.070196 , 0.051139 , 0.028216 , 0.045524 , 0.072335 , 0.049401 , 0.099885 , 0.044745 , 0.069502 , 0.067826 , 0.111674 , 0.051506 , 0.065636 , 0.081753 , 0.070614 , 0.051556 , 0.098062 , 0.097131 , 0.102402 , 0.081268 , 0.0937 
 496 , 0.03634 , 0.049299 , 0.053433 , 0.079457 , 0.074132 , 0.07838 , 0.064253 , 0.046469 , 0.076168 , 0.095626 , 0.049917 , 0.046622 , 0.05324 , 0.049009 , 0.045108 , 0.07842 , 0.069323 , 0.077643 , 0.043645 , 0.067026 , 0.093828 , 0.089994 , 0.08637 , 0.089376 , 0.103429 , 0.032807 , 0.036749 , 0.037645 , 0.032597 , 0.041694 , 0.03714 , 0.052786 , 0.090799 , 0.103718 , 0.09317 , 0.053291 , 0.080058 , 0.035268 , 0.100162 , 0.070832 , 0.051612 , 0.02852 , 0.046004 , 0.073128 , 0.049962 , 0.100695 , 0.045147 , 0.070179 , 0.068501 , 0.112571 , 0.051992 , 0.066249 , 0.082469 , 0.071149 , 0.052106 , 0.098835 , 0.0979 , 0.103191 , 0.081902 , 0.094384 
 497 , 0.036751 , 0.049962 , 0.054085 , 0.080302 , 0.074955 , 0.078924 , 0.064796 , 0.046836 , 0.076646 , 0.096274 , 0.050327 , 0.047012 , 0.053663 , 0.049427 , 0.045492 , 0.078969 , 0.06983 , 0.078195 , 0.04404 , 0.067523 , 0.09468 , 0.090922 , 0.087192 , 0.090318 , 0.104537 , 0.03313 , 0.037093 , 0.037998 , 0.032919 , 0.042047 , 0.037548 , 0.053339 , 0.091468 , 0.1044 , 0.093951 , 0.053732 , 0.080643 , 0.035709 , 0.100852 , 0.071396 , 0.052069 , 0.028779 , 0.046443 , 0.073838 , 0.050492 , 0.101376 , 0.045509 , 0.070798 , 0.069078 , 0.11334 , 0.052439 , 0.066817 , 0.083069 , 0.071635 , 0.052604 , 0.099514 , 0.098552 , 0.10391 , 0.082494 , 0.095039 
 498 , 0.037117 , 0.050694 , 0.054691 , 0.08108 , 0.075764 , 0.079379 , 0.065345 , 0.047143 , 0.077043 , 0.096861 , 0.050666 , 0.047423 , 0.054086 , 0.049792 , 0.04583 , 0.079459 , 0.070301 , 0.078711 , 0.044408 , 0.067983 , 0.095485 , 0.091797 , 0.087931 , 0.09122 , 0.105562 , 0.033412 , 0.037454 , 0.03831 , 0.0332 , 0.042376 , 0.037928 , 0.053869 , 0.092054 , 0.104997 , 0.094669 , 0.054126 , 0.081171 , 0.036129 , 0.101446 , 0.071899 , 0.052516 , 0.029015 , 0.046846 , 0.074497 , 0.050991 , 0.101965 , 0.045853 , 0.071374 , 0.069593 , 0.114024 , 0.052847 , 0.067349 , 0.083581 , 0.072099 , 0.053064 , 0.100121 , 0.099122 , 0.104586 , 0.083061 , 0.095668 
 499 , 0.03749 , 0.05143 , 0.055305 , 0.081856 , 0.076572 , 0.079841 , 0.06589 , 0.047445 , 0.077442 , 0.097455 , 0.051 , 0.047829 , 0.054515 , 0.050159 , 0.046169 , 0.079949 , 0.070773 , 0.079228 , 0.044778 , 0.068431 , 0.096287 , 0.092675 , 0.088679 , 0.09212 , 0.106591 , 0.033695 , 0.037811 , 0.038624 , 0.033477 , 0.042705 , 0.038303 , 0.054401 , 0.092641 , 0.10559 , 0.095388 , 0.054515 , 0.081695 , 0.036551 , 0.10204 , 0.072404 , 0.052952 , 0.029247 , 0.047251 , 0.075152 , 0.051487 , 0.102556 , 0.046192 , 0.071941 , 0.070103 , 0.114703 , 0.053256 , 0.067876 , 0.084094 , 0.072559 , 0.053525 , 0.10073 , 0.099693 , 0.105258 , 0.08363 , 0.096304 
 500 , 0.037923 , 0.052198 , 0.055975 , 0.082728 , 0.077402 , 0.080335 , 0.066473 , 0.047801 , 0.077907 , 0.098077 , 0.051377 , 0.048261 , 0.054953 , 0.050574 , 0.046573 , 0.080495 , 0.071283 , 0.079778 , 0.045178 , 0.068912 , 0.097147 , 0.093628 , 0.089478 , 0.093083 , 0.107685 , 0.034009 , 0.038193 , 0.038973 , 0.033796 , 0.043066 , 0.038738 , 0.054999 , 0.093278 , 0.106244 , 0.096159 , 0.054959 , 0.082269 , 0.037005 , 0.102714 , 0.072953 , 0.053449 , 0.029508 , 0.047715 , 0.075869 , 0.052049 , 0.103208 , 0.046562 , 0.072563 , 0.070675 , 0.11544 , 0.053696 , 0.068442 , 0.084657 , 0.073057 , 0.054046 , 0.101388 , 0.100315 , 0.105975 , 0.084255 , 0.096969 
 501 , 0.038559 , 0.053101 , 0.056844 , 0.083887 , 0.078282 , 0.080958 , 0.067188 , 0.048321 , 0.078571 , 0.098776 , 0.051908 , 0.048782 , 0.055437 , 0.051147 , 0.047185 , 0.081206 , 0.071917 , 0.080404 , 0.045703 , 0.06946 , 0.098193 , 0.094826 , 0.090449 , 0.094243 , 0.108993 , 0.03443 , 0.038657 , 0.039453 , 0.034223 , 0.043535 , 0.039366 , 0.055811 , 0.094076 , 0.107108 , 0.097115 , 0.055581 , 0.082988 , 0.037579 , 0.103648 , 0.073664 , 0.054122 , 0.029869 , 0.048367 , 0.07676 , 0.052801 , 0.104058 , 0.047029 , 0.073358 , 0.071449 , 0.11634 , 0.054243 , 0.06912 , 0.085381 , 0.073652 , 0.054779 , 0.102218 , 0.101105 , 0.106854 , 0.08504 , 0.097749 
 502 , 0.0392 , 0.054 , 0.057713 , 0.085049 , 0.079164 , 0.08158 , 0.067903 , 0.048845 , 0.079239 , 0.099479 , 0.05243 , 0.049308 , 0.055923 , 0.051718 , 0.047796 , 0.081921 , 0.072554 , 0.081035 , 0.046226 , 0.070011 , 0.099236 , 0.096021 , 0.091421 , 0.095407 , 0.1103 , 0.034855 , 0.039124 , 0.03993 , 0.034652 , 0.044008 , 0.039993 , 0.056624 , 0.094874 , 0.107971 , 0.098077 , 0.056207 , 0.083711 , 0.038151 , 0.104577 , 0.074373 , 0.0548 , 0.030227 , 0.049024 , 0.077652 , 0.05356 , 0.104907 , 0.047501 , 0.074147 , 0.07223 , 0.11724 , 0.054794 , 0.069803 , 0.086104 , 0.074252 , 0.055512 , 0.103042 , 0.101901 , 0.107728 , 0.085831 , 0.098523 
 503 , 0.039833 , 0.054899 , 0.058589 , 0.086213 , 0.080044 , 0.082209 , 0.068615 , 0.049365 , 0.07991 , 0.100185 , 0.052961 , 0.049831 , 0.056412 , 0.052292 , 0.048411 , 0.082634 , 0.073189 , 0.081668 , 0.046752 , 0.070565 , 0.100278 , 0.097217 , 0.092399 , 0.096565 , 0.111608 , 0.035282 , 0.039594 , 0.040409 , 0.035084 , 0.044483 , 0.040619 , 0.057442 , 0.095669 , 0.108832 , 0.099033 , 0.056825 , 0.084438 , 0.038727 , 0.105515 , 0.07508 , 0.055475 , 0.030586 , 0.049679 , 0.078543 , 0.054311 , 0.10576 , 0.047968 , 0.074941 , 0.073003 , 0.118143 , 0.055341 , 0.070489 , 0.08683 , 0.074848 , 0.056249 , 0.103868 , 0.102687 , 0.108605 , 0.08662 , 0.099306 
 504 , 0.040644 , 0.056084 , 0.059695 , 0.087644 , 0.081287 , 0.083026 , 0.069452 , 0.050026 , 0.080772 , 0.101281 , 0.053737 , 0.050547 , 0.057108 , 0.053064 , 0.049177 , 0.083558 , 0.073965 , 0.082493 , 0.047439 , 0.071284 , 0.101568 , 0.098659 , 0.093608 , 0.098092 , 0.113187 , 0.035868 , 0.040263 , 0.041024 , 0.03571 , 0.045127 , 0.041428 , 0.05849 , 0.096734 , 0.109909 , 0.100251 , 0.057629 , 0.085425 , 0.039514 , 0.106637 , 0.076031 , 0.056347 , 0.031091 , 0.05053 , 0.079672 , 0.055253 , 0.106865 , 0.048528 , 0.075944 , 0.073924 , 0.119391 , 0.05609 , 0.071384 , 0.087743 , 0.075616 , 0.057255 , 0.104934 , 0.103787 , 0.109763 , 0.087538 , 0.100345 
 505 , 0.041475 , 0.057311 , 0.060834 , 0.089131 , 0.082591 , 0.083882 , 0.070308 , 0.050707 , 0.081672 , 0.102434 , 0.054548 , 0.051296 , 0.057842 , 0.053877 , 0.049965 , 0.084518 , 0.074768 , 0.083357 , 0.048156 , 0.072034 , 0.102899 , 0.100142 , 0.094863 , 0.099665 , 0.114805 , 0.036485 , 0.040963 , 0.041664 , 0.036368 , 0.045806 , 0.042271 , 0.059574 , 0.097838 , 0.111011 , 0.101509 , 0.058454 , 0.086456 , 0.040332 , 0.107783 , 0.077012 , 0.057258 , 0.031619 , 0.051402 , 0.080836 , 0.056222 , 0.108013 , 0.049099 , 0.076971 , 0.074874 , 0.120697 , 0.056858 , 0.072311 , 0.088695 , 0.076417 , 0.058301 , 0.106039 , 0.104931 , 0.110958 , 0.088483 , 0.10142 
 506 , 0.042308 , 0.058538 , 0.061977 , 0.090612 , 0.083894 , 0.084736 , 0.071162 , 0.051387 , 0.082565 , 0.103592 , 0.05536 , 0.052039 , 0.058574 , 0.054684 , 0.050752 , 0.085477 , 0.075568 , 0.084214 , 0.048867 , 0.072781 , 0.104232 , 0.101629 , 0.096121 , 0.101244 , 0.116424 , 0.037096 , 0.041662 , 0.042308 , 0.037025 , 0.046483 , 0.043115 , 0.060661 , 0.098949 , 0.112119 , 0.102762 , 0.059279 , 0.087487 , 0.041152 , 0.108935 , 0.077999 , 0.058165 , 0.032151 , 0.052276 , 0.082002 , 0.057192 , 0.109166 , 0.049673 , 0.077999 , 0.075817 , 0.122004 , 0.057631 , 0.073244 , 0.089639 , 0.077217 , 0.05935 , 0.10715 , 0.106071 , 0.112155 , 0.089432 , 0.102501 
 507 , 0.043147 , 0.059842 , 0.063118 , 0.092063 , 0.08516 , 0.08553 , 0.072009 , 0.052079 , 0.083405 , 0.104612 , 0.056161 , 0.052759 , 0.059269 , 0.055445 , 0.051494 , 0.086359 , 0.076323 , 0.084999 , 0.049567 , 0.073506 , 0.105501 , 0.103108 , 0.097332 , 0.10275 , 0.117984 , 0.037711 , 0.042365 , 0.042968 , 0.037681 , 0.047168 , 0.044036 , 0.061757 , 0.09994 , 0.113109 , 0.103973 , 0.060063 , 0.088459 , 0.041977 , 0.110018 , 0.078954 , 0.059096 , 0.032675 , 0.053159 , 0.083131 , 0.058207 , 0.110209 , 0.050247 , 0.079014 , 0.076734 , 0.123223 , 0.058374 , 0.074139 , 0.090524 , 0.077934 , 0.060433 , 0.108174 , 0.107088 , 0.1133 , 0.090369 , 0.103502 
 508 , 0.043988 , 0.061221 , 0.064246 , 0.093485 , 0.086411 , 0.086255 , 0.072844 , 0.052779 , 0.084185 , 0.105504 , 0.056943 , 0.053451 , 0.059943 , 0.056151 , 0.052191 , 0.087179 , 0.077032 , 0.085697 , 0.050241 , 0.074212 , 0.106716 , 0.104574 , 0.098508 , 0.104184 , 0.119479 , 0.038336 , 0.043076 , 0.04364 , 0.03833 , 0.047859 , 0.045027 , 0.06286 , 0.100824 , 0.113982 , 0.10515 , 0.060819 , 0.089369 , 0.042806 , 0.111036 , 0.079876 , 0.060051 , 0.033194 , 0.054051 , 0.084215 , 0.059259 , 0.111144 , 0.050829 , 0.08002 , 0.077626 , 0.124363 , 0.059085 , 0.075004 , 0.091355 , 0.07858 , 0.061551 , 0.109128 , 0.107988 , 0.114378 , 0.091301 , 0.104424 
 509 , 0.044837 , 0.0626 , 0.065376 , 0.094905 , 0.087659 , 0.086989 , 0.073678 , 0.053477 , 0.084962 , 0.106394 , 0.057725 , 0.054141 , 0.060609 , 0.056862 , 0.052886 , 0.087997 , 0.077739 , 0.086392 , 0.050919 , 0.074921 , 0.107932 , 0.106038 , 0.099684 , 0.105621 , 0.120977 , 0.03896 , 0.043787 , 0.044318 , 0.038984 , 0.048548 , 0.046026 , 0.063964 , 0.101705 , 0.114853 , 0.106327 , 0.061569 , 0.090283 , 0.043642 , 0.112059 , 0.080804 , 0.061008 , 0.033717 , 0.054944 , 0.085293 , 0.060308 , 0.112077 , 0.051402 , 0.081022 , 0.078524 , 0.125497 , 0.059801 , 0.075869 , 0.092178 , 0.079223 , 0.062667 , 0.110086 , 0.108886 , 0.115468 , 0.092232 , 0.105344 
 510 , 0.045703 , 0.063947 , 0.066495 , 0.096273 , 0.088841 , 0.087657 , 0.074462 , 0.054149 , 0.085661 , 0.107194 , 0.058493 , 0.054804 , 0.061229 , 0.057565 , 0.053579 , 0.088756 , 0.078393 , 0.08702 , 0.051576 , 0.075554 , 0.109068 , 0.107436 , 0.100775 , 0.106993 , 0.122392 , 0.039564 , 0.044478 , 0.044981 , 0.039624 , 0.049222 , 0.047002 , 0.065051 , 0.102516 , 0.115645 , 0.107424 , 0.062285 , 0.091134 , 0.044472 , 0.112994 , 0.081669 , 0.061933 , 0.034225 , 0.055829 , 0.086323 , 0.061338 , 0.112939 , 0.051953 , 0.081967 , 0.07937 , 0.126529 , 0.060465 , 0.076688 , 0.092942 , 0.079807 , 0.063765 , 0.110955 , 0.109699 , 0.116458 , 0.0931 , 0.106192 
 511 , 0.046705 , 0.065134 , 0.06757 , 0.097346 , 0.089625 , 0.088016 , 0.074986 , 0.054662 , 0.085962 , 0.107538 , 0.059193 , 0.055312 , 0.061587 , 0.058228 , 0.054231 , 0.089188 , 0.078734 , 0.087311 , 0.052153 , 0.075819 , 0.109761 , 0.108449 , 0.101403 , 0.108048 , 0.123325 , 0.04009 , 0.04504 , 0.045569 , 0.040217 , 0.04979 , 0.047865 , 0.066057 , 0.102922 , 0.115957 , 0.108054 , 0.062789 , 0.091654 , 0.045296 , 0.113479 , 0.082184 , 0.062729 , 0.03469 , 0.056636 , 0.087032 , 0.062249 , 0.113424 , 0.052342 , 0.082591 , 0.079961 , 0.127 , 0.060888 , 0.077307 , 0.093361 , 0.080064 , 0.064776 , 0.111371 , 0.110083 , 0.116965 , 0.093598 , 0.106633 
 512 , 0.047701 , 0.066314 , 0.068648 , 0.098422 , 0.09041 , 0.088374 , 0.075505 , 0.055171 , 0.086259 , 0.107881 , 0.059889 , 0.055822 , 0.061943 , 0.058892 , 0.054886 , 0.089626 , 0.07908 , 0.087596 , 0.052728 , 0.076083 , 0.110446 , 0.109468 , 0.102027 , 0.109109 , 0.124263 , 0.040613 , 0.045603 , 0.046157 , 0.040807 , 0.050363 , 0.048734 , 0.067068 , 0.103334 , 0.116264 , 0.108677 , 0.063293 , 0.092173 , 0.046126 , 0.113966 , 0.082696 , 0.063524 , 0.035154 , 0.057439 , 0.087742 , 0.063153 , 0.113905 , 0.052734 , 0.083213 , 0.080557 , 0.127461 , 0.061317 , 0.077931 , 0.093778 , 0.08032 , 0.065785 , 0.11179 , 0.110465 , 0.117473 , 0.0941 , 0.107079 
 513 , 0.048698 , 0.067495 , 0.069722 , 0.099494 , 0.091196 , 0.088733 , 0.076031 , 0.055682 , 0.086555 , 0.108224 , 0.060591 , 0.056332 , 0.062306 , 0.059557 , 0.055542 , 0.090059 , 0.079419 , 0.087881 , 0.053303 , 0.076341 , 0.111138 , 0.110481 , 0.102658 , 0.110158 , 0.125197 , 0.041142 , 0.046161 , 0.046739 , 0.041404 , 0.05093 , 0.049598 , 0.068067 , 0.10374 , 0.116576 , 0.109307 , 0.063791 , 0.092687 , 0.046952 , 0.114447 , 0.083215 , 0.064314 , 0.035618 , 0.058249 , 0.088453 , 0.064058 , 0.114386 , 0.05312 , 0.083829 , 0.081147 , 0.127928 , 0.061741 , 0.078543 , 0.094196 , 0.080575 , 0.066796 , 0.112209 , 0.110846 , 0.117982 , 0.094597 , 0.107518 
 514 , 0.049783 , 0.068895 , 0.070887 , 0.100564 , 0.092064 , 0.089025 , 0.076586 , 0.056182 , 0.086852 , 0.108564 , 0.061248 , 0.056967 , 0.062794 , 0.060255 , 0.056237 , 0.090438 , 0.079728 , 0.088112 , 0.053941 , 0.07661 , 0.111822 , 0.111542 , 0.103298 , 0.111237 , 0.126149 , 0.041733 , 0.04686 , 0.047384 , 0.042135 , 0.051591 , 0.050665 , 0.069169 , 0.104065 , 0.116821 , 0.10994 , 0.064384 , 0.093111 , 0.04784 , 0.114891 , 0.083771 , 0.065291 , 0.036168 , 0.05919 , 0.089208 , 0.065114 , 0.114799 , 0.053552 , 0.084477 , 0.081755 , 0.128451 , 0.062167 , 0.079192 , 0.094554 , 0.080805 , 0.067958 , 0.112571 , 0.11117 , 0.118465 , 0.095096 , 0.107876 
 515 , 0.050897 , 0.070338 , 0.072069 , 0.101635 , 0.092944 , 0.089299 , 0.07714 , 0.056674 , 0.087148 , 0.108899 , 0.061897 , 0.057637 , 0.063311 , 0.060965 , 0.056949 , 0.090804 , 0.080029 , 0.088324 , 0.054596 , 0.076878 , 0.112507 , 0.112611 , 0.103944 , 0.112325 , 0.127116 , 0.042346 , 0.047587 , 0.048032 , 0.0429 , 0.052268 , 0.051774 , 0.07029 , 0.104371 , 0.117066 , 0.110575 , 0.065 , 0.093516 , 0.048751 , 0.115317 , 0.084338 , 0.066304 , 0.036733 , 0.06016 , 0.089982 , 0.066219 , 0.115201 , 0.053987 , 0.08513 , 0.082375 , 0.128994 , 0.062604 , 0.079846 , 0.0949 , 0.081035 , 0.069168 , 0.112928 , 0.111484 , 0.118937 , 0.095589 , 0.108217 
 516 , 0.052007 , 0.071784 , 0.073255 , 0.102701 , 0.093825 , 0.089579 , 0.077696 , 0.057168 , 0.08745 , 0.109235 , 0.062548 , 0.058302 , 0.063829 , 0.061676 , 0.057656 , 0.091178 , 0.080337 , 0.088542 , 0.055252 , 0.077147 , 0.113194 , 0.113682 , 0.104593 , 0.113414 , 0.128079 , 0.042953 , 0.048322 , 0.048688 , 0.043661 , 0.052946 , 0.052891 , 0.071412 , 0.104678 , 0.117312 , 0.111212 , 0.065617 , 0.093917 , 0.049664 , 0.11575 , 0.084906 , 0.067319 , 0.037298 , 0.061133 , 0.090751 , 0.067325 , 0.115598 , 0.054428 , 0.085779 , 0.082991 , 0.129537 , 0.063036 , 0.080502 , 0.095247 , 0.081258 , 0.070375 , 0.113286 , 0.111797 , 0.119411 , 0.096089 , 0.108558 
 517 , 0.053346 , 0.073437 , 0.074702 , 0.104113 , 0.094927 , 0.090037 , 0.07843 , 0.057857 , 0.087935 , 0.109791 , 0.063413 , 0.059104 , 0.064458 , 0.0626 , 0.058572 , 0.091767 , 0.080845 , 0.088955 , 0.056084 , 0.077568 , 0.114125 , 0.115078 , 0.105458 , 0.114803 , 0.129319 , 0.043708 , 0.049184 , 0.049477 , 0.044569 , 0.05378 , 0.054196 , 0.072752 , 0.105232 , 0.117847 , 0.112083 , 0.066377 , 0.09456 , 0.050743 , 0.116429 , 0.085655 , 0.068523 , 0.037993 , 0.062331 , 0.091767 , 0.068633 , 0.116246 , 0.054984 , 0.086663 , 0.083839 , 0.13034 , 0.063608 , 0.081364 , 0.095819 , 0.081639 , 0.071823 , 0.113893 , 0.112365 , 0.120151 , 0.096767 , 0.109168 
 518 , 0.054969 , 0.075355 , 0.076468 , 0.105948 , 0.096312 , 0.090722 , 0.079382 , 0.058794 , 0.088637 , 0.110597 , 0.064544 , 0.060067 , 0.065214 , 0.063788 , 0.059741 , 0.092616 , 0.081596 , 0.089609 , 0.05714 , 0.078177 , 0.115344 , 0.116869 , 0.106587 , 0.116555 , 0.130902 , 0.044626 , 0.050204 , 0.050443 , 0.045647 , 0.054816 , 0.055732 , 0.07434 , 0.106095 , 0.118732 , 0.113229 , 0.067317 , 0.095488 , 0.052018 , 0.117429 , 0.086608 , 0.069955 , 0.038833 , 0.0638 , 0.093077 , 0.070183 , 0.117195 , 0.055664 , 0.087825 , 0.084984 , 0.131437 , 0.064359 , 0.082469 , 0.096668 , 0.082217 , 0.073547 , 0.11479 , 0.113253 , 0.121217 , 0.097664 , 0.110105 
 519 , 0.05659 , 0.077265 , 0.078231 , 0.107778 , 0.097694 , 0.091402 , 0.080334 , 0.059732 , 0.089348 , 0.111403 , 0.065672 , 0.061025 , 0.065975 , 0.064979 , 0.060908 , 0.093468 , 0.082345 , 0.090257 , 0.058192 , 0.078781 , 0.116557 , 0.11866 , 0.107716 , 0.118302 , 0.132481 , 0.045546 , 0.051226 , 0.051405 , 0.046728 , 0.055847 , 0.057276 , 0.075929 , 0.106955 , 0.119613 , 0.114379 , 0.068251 , 0.096413 , 0.053298 , 0.118419 , 0.08756 , 0.071394 , 0.039675 , 0.065263 , 0.094384 , 0.071728 , 0.118147 , 0.056342 , 0.088983 , 0.086125 , 0.132531 , 0.065109 , 0.083576 , 0.097514 , 0.082802 , 0.075267 , 0.115691 , 0.114138 , 0.12228 , 0.098566 , 0.111045 
