  time  ,47:18 PM,47:30 PM,47:41 PM,47:49 PM,47:58 PM,06:54 PM,07:14 PM,07:31 PM,07:43 PM,07:53 PM,09:57 PM,10:12 PM,10:21 PM,10:30 PM,10:42 PM,10:50 PM,10:56 PM,11:04 PM,11:15 PM,11:21 PM,12:38 PM,12:52 PM,13:04 PM,13:28 PM,13:36 PM,15:27 PM,15:37 PM,15:47 PM,15:59 PM,16:07 PM,17:00 PM,17:13 PM,17:30 PM,17:39 PM,17:54 PM,19:28 PM,19:36 PM,19:43 PM,19:49 PM,19:56 PM,20:09 PM,20:16 PM,20:22 PM,20:30 PM,20:41 PM,21:54 PM,22:03 PM,22:11 PM,22:22 PM,22:35 PM,23:09 PM,23:22 PM,23:30 PM,23:39 PM,23:52 PM,24:33 PM,24:54 PM,25:04 PM,25:13 PM,25:22 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 317 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 318 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 319 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 320 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 321 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 322 , 0 , 0 , 0 , 0 , 0 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 , 1.04218 
 323 , 0 , 0 , 0 , 0 , 0 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 , 1.731427 
 324 , 0 , 0 , 0 , 0 , 0 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 , 2.121435 
 325 , 0 , 0 , 0 , 0 , 0 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 , 2.276331 
