JUL8LOF00005.spu,JUL8LOF00004.spu,JUL8LOF00003.spu,
Wavelength,JUL8MAT00006.spu,JUL8MAT00007.spu,JUL8MAT00008.spu,JUL8MAT00009.spu,JUL8MAT00010.spu,JUL8MAT00011.spu,JUL8MAT00012.spu,JUL8MAT00013.spu,JUL8MAT00014.spu,JUL8MAT00015.spu,JUL8MAT00016.spu,JUL8MAT00017.spu,JUL8MAT00018.spu,JUL8MAT00019.spu,JUL8MAT00020.spu,JUL8MAT00021.spu,JUL8MAT00022.spu,JUL8MAT00023.spu,JUL8MAT00024.spu,JUL8MAT00025.spu
 325 , 1.262522 , 1.262522 , 1.262522 , 1.262522 , 0 , 0 , 1.262522 , 1.262522 , 1.262522 , 0 , 0 , 0 , 1.262522 , 1.262522 , 1.262522 , 1.262522 , 1.262522 , 1.262522 , 1.262522 , 1.262522 
 326 , 2.742763 , 2.742763 , 2.742763 , 2.742763 , 0 , 0 , 2.742763 , 2.742763 , 2.742763 , 0 , 0 , 0 , 2.742763 , 2.742763 , 2.742763 , 2.742763 , 2.742763 , 2.742763 , 2.742763 , 2.742763 
 327 , 3.508099 , 3.508099 , 3.508099 , 3.508099 , 0 , 0 , 3.508099 , 3.508099 , 3.508099 , 0 , 0 , 0 , 3.508099 , 3.508099 , 3.508099 , 3.508099 , 3.508099 , 3.508099 , 3.508099 , 3.508099 
 328 , 0 , 3.998103 , 0 , 3.998103 , 0 , 3.998103 , 0 , 3.998103 , 0 , 0 , 0 , 0 , 3.998103 , 3.998103 , 3.998103 , 3.998103 , 3.998103 , 3.998103 , 3.998103 , 3.998103 
 329 , 0 , 4.439407 , 0 , 4.439407 , 0 , 4.439407 , 0 , 4.439407 , 0 , 0 , 0 , 0 , 4.439407 , 4.439407 , 4.439407 , 4.439407 , 4.439407 , 4.439407 , 4.439407 , 4.439407 
 330 , 0 , 3.974855 , 0 , 3.974855 , 0 , 3.974855 , 0 , 3.974855 , 0 , 0 , 0 , 0 , 3.974855 , 3.974855 , 3.974855 , 3.974855 , 3.974855 , 3.974855 , 3.974855 , 3.974855 
 331 , 0 , 2.562053 , 0 , 2.562053 , 0 , 2.562053 , 0 , 2.562053 , 0 , 0 , 0 , 0 , 2.562053 , 2.562053 , 2.562053 , 2.562053 , 2.562053 , 2.562053 , 2.562053 , 2.562053 
 332 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.197955 , 2.197955 , 2.197955 , 2.197955 , 2.197955 , 2.197955 , 2.197955 , 2.197955 
 333 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.595522 , 2.595522 , 2.595522 , 2.595522 , 2.595522 , 2.595522 , 2.595522 , 2.595522 
 334 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.604399 , 2.604399 , 2.604399 , 2.604399 , 2.604399 , 2.604399 , 2.604399 , 2.604399 
 335 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000703 , 0 , 2.706454 , 2.706454 , 2.706454 , 0 , 2.706454 , 2.706454 , 2.706454 
 336 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.004457 , 0 , 3.89263 , 3.89263 , 3.89263 , 0 , 3.89263 , 3.89263 , 3.89263 
 337 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.007686 , 0 , 4.631388 , 4.631388 , 4.631388 , 0 , 4.631388 , 4.631388 , 4.631388 
 338 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.010109 , 0 , 5.065238 , 5.065238 , 5.065238 , 0 , 5.065238 , 5.065238 , 5.065238 
 339 , 0.000475 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000327 , 0 , 0 , 0.000506 , 0.011063 , 0.002598 , 5.156844 , 5.156844 , 0.10058 , 0.01252 , 5.156844 , 5.156844 , 5.156844 
 340 , 0.001015 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00065 , 0 , 0 , 0.000908 , 0.01159 , 0.003271 , 5.188116 , 5.188116 , 0.061722 , 0.017515 , 5.188116 , 5.188116 , 5.188116 
 341 , 0.001519 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000915 , 0 , 0 , 0.001182 , 0.011937 , 0.003539 , 5.20067 , 5.20067 , 0.049975 , 0.019828 , 5.20067 , 5.20067 , 5.20067 
 342 , 0.002166 , 0.000623 , 0.000288 , 0.000437 , 0 , 0.000436 , 0 , 0.001504 , 0 , 0.000341 , 0.001494 , 0.012651 , 0.004515 , 0.014582 , 5.282515 , 0.039141 , 0.021443 , 5.282515 , 0.349164 , 5.282515 
 343 , 0.002941 , 0.001669 , 0.000827 , 0.00127 , 0 , 0.001364 , 0 , 0.002523 , 0 , 0.001068 , 0.001847 , 0.01375 , 0.006268 , 0.009266 , 5.427188 , 0.031079 , 0.022864 , 5.427188 , 0.203021 , 5.427188 
 344 , 0.003616 , 0.00242 , 0.001261 , 0.001955 , 0 , 0.002233 , 0 , 0.003522 , 0 , 0.001752 , 0.002119 , 0.014696 , 0.007793 , 0.008357 , 5.54547 , 0.027055 , 0.023924 , 5.54547 , 0.177172 , 5.54547 
 345 , 0.004186 , 0.003006 , 0.001627 , 0.002597 , 0.000086 , 0.003062 , 0.000086 , 0.004468 , 0 , 0.002401 , 0.002409 , 0.015588 , 0.009149 , 0.008527 , 0.031266 , 0.025099 , 0.025144 , 5.64356 , 0.167616 , 5.64356 
 346 , 0.004422 , 0.003625 , 0.002035 , 0.00403 , 0.001355 , 0.00405 , 0.001243 , 0.005129 , 0 , 0.003132 , 0.003562 , 0.017079 , 0.010534 , 0.01497 , 0.016897 , 0.02815 , 0.030441 , 5.706178 , 0.166166 , 5.706178 
 347 , 0.004621 , 0.004212 , 0.002426 , 0.005397 , 0.002684 , 0.004844 , 0.002268 , 0.005632 , 0 , 0.003778 , 0.004601 , 0.018484 , 0.011834 , 0.021968 , 0.016412 , 0.031044 , 0.035503 , 5.758651 , 0.165574 , 5.758651 
 348 , 0.004789 , 0.00477 , 0.002801 , 0.006698 , 0.004071 , 0.005497 , 0.003182 , 0.006029 , 0 , 0.004354 , 0.005542 , 0.01981 , 0.013055 , 0.029556 , 0.016312 , 0.033789 , 0.040336 , 5.803231 , 0.165381 , 5.803231 
 349 , 0.005325 , 0.004926 , 0.003773 , 0.007168 , 0.004457 , 0.00524 , 0.003358 , 0.006363 , 0.000498 , 0.004695 , 0.0057 , 0.020184 , 0.013773 , 0.026433 , 0.015607 , 0.03062 , 0.035994 , 0.21363 , 0.112491 , 0.085296 
 350 , 0.005882 , 0.00489 , 0.004737 , 0.007244 , 0.004382 , 0.004754 , 0.003258 , 0.006589 , 0.00112 , 0.00489 , 0.00555 , 0.020095 , 0.014159 , 0.022127 , 0.014751 , 0.026602 , 0.030654 , 0.095004 , 0.082195 , 0.055491 
 351 , 0.006304 , 0.004825 , 0.005459 , 0.007265 , 0.004288 , 0.004367 , 0.00317 , 0.006723 , 0.001652 , 0.005023 , 0.005399 , 0.01992 , 0.014407 , 0.019482 , 0.014015 , 0.023679 , 0.027014 , 0.063617 , 0.067118 , 0.046562 
 352 , 0.0068 , 0.005033 , 0.005968 , 0.007494 , 0.004399 , 0.004384 , 0.003265 , 0.006969 , 0.001865 , 0.00535 , 0.00555 , 0.019842 , 0.014117 , 0.017827 , 0.01378 , 0.022665 , 0.024951 , 0.052243 , 0.059423 , 0.044024 
 353 , 0.007595 , 0.005812 , 0.006309 , 0.008186 , 0.004926 , 0.005122 , 0.003706 , 0.007522 , 0.001554 , 0.006153 , 0.006324 , 0.019997 , 0.01323 , 0.016911 , 0.014338 , 0.024225 , 0.024481 , 0.050563 , 0.056723 , 0.046453 
 354 , 0.008354 , 0.006563 , 0.006621 , 0.008854 , 0.005427 , 0.005874 , 0.004115 , 0.00806 , 0.001271 , 0.006957 , 0.007119 , 0.020107 , 0.01265 , 0.01622 , 0.014837 , 0.025676 , 0.024148 , 0.049181 , 0.054772 , 0.048656 
 355 , 0.009077 , 0.007283 , 0.006908 , 0.009499 , 0.005901 , 0.006636 , 0.004496 , 0.008585 , 0.001012 , 0.007759 , 0.007933 , 0.020186 , 0.012249 , 0.015681 , 0.015287 , 0.027032 , 0.023907 , 0.048021 , 0.053309 , 0.050665 
 356 , 0.009165 , 0.007363 , 0.006819 , 0.009639 , 0.006031 , 0.00682 , 0.004975 , 0.009183 , 0.001181 , 0.008004 , 0.008147 , 0.020622 , 0.012258 , 0.016295 , 0.014851 , 0.026243 , 0.024175 , 0.049591 , 0.040944 , 0.035167 
 357 , 0.009206 , 0.007397 , 0.006714 , 0.009737 , 0.006132 , 0.006956 , 0.005411 , 0.009752 , 0.001366 , 0.0082 , 0.008308 , 0.021029 , 0.012271 , 0.016917 , 0.014461 , 0.025477 , 0.024423 , 0.051139 , 0.033725 , 0.027943 
 358 , 0.009236 , 0.007422 , 0.006613 , 0.009819 , 0.006222 , 0.007075 , 0.005803 , 0.010288 , 0.001544 , 0.008378 , 0.008449 , 0.021391 , 0.012272 , 0.017492 , 0.014137 , 0.024816 , 0.024632 , 0.052537 , 0.029167 , 0.023942 
 359 , 0.009273 , 0.007618 , 0.006902 , 0.009686 , 0.006447 , 0.007313 , 0.00599 , 0.010711 , 0.001944 , 0.00848 , 0.008659 , 0.021467 , 0.012728 , 0.017898 , 0.013589 , 0.024336 , 0.02491 , 0.049152 , 0.028219 , 0.022473 
 360 , 0.009312 , 0.007927 , 0.007481 , 0.00945 , 0.006767 , 0.007626 , 0.006036 , 0.011046 , 0.00248 , 0.008531 , 0.008915 , 0.021365 , 0.013505 , 0.01818 , 0.013007 , 0.023998 , 0.025226 , 0.044073 , 0.029101 , 0.022114 
 361 , 0.009343 , 0.008212 , 0.008057 , 0.009264 , 0.007072 , 0.007917 , 0.006073 , 0.011354 , 0.002973 , 0.008579 , 0.009153 , 0.02128 , 0.01425 , 0.018439 , 0.012569 , 0.023711 , 0.025505 , 0.040468 , 0.029918 , 0.02183 
 362 , 0.009398 , 0.008404 , 0.008509 , 0.009256 , 0.007404 , 0.008181 , 0.006189 , 0.011597 , 0.003341 , 0.008689 , 0.009344 , 0.021241 , 0.014826 , 0.018481 , 0.012326 , 0.023662 , 0.025552 , 0.038455 , 0.030538 , 0.021868 
 363 , 0.009558 , 0.008304 , 0.008442 , 0.009839 , 0.00785 , 0.008389 , 0.006613 , 0.011631 , 0.003342 , 0.009043 , 0.009384 , 0.021315 , 0.014796 , 0.017751 , 0.012523 , 0.024423 , 0.024762 , 0.039541 , 0.03052 , 0.022932 
 364 , 0.009689 , 0.008194 , 0.008371 , 0.010392 , 0.008244 , 0.008565 , 0.007 , 0.011643 , 0.003336 , 0.009361 , 0.009405 , 0.021345 , 0.014745 , 0.017115 , 0.012686 , 0.02511 , 0.024086 , 0.040508 , 0.030451 , 0.023869 
 365 , 0.009795 , 0.008077 , 0.008295 , 0.010913 , 0.00859 , 0.008712 , 0.007351 , 0.011637 , 0.003323 , 0.009645 , 0.00941 , 0.021336 , 0.014677 , 0.01655 , 0.012818 , 0.025729 , 0.023492 , 0.041363 , 0.030339 , 0.02469 
 366 , 0.01017 , 0.008155 , 0.008438 , 0.011214 , 0.008637 , 0.00885 , 0.007239 , 0.011989 , 0.003265 , 0.009905 , 0.00955 , 0.021781 , 0.015015 , 0.016838 , 0.012782 , 0.026303 , 0.023883 , 0.039541 , 0.029757 , 0.021215 
 367 , 0.010586 , 0.008264 , 0.008616 , 0.011442 , 0.008606 , 0.008968 , 0.007002 , 0.0124 , 0.003194 , 0.010142 , 0.009704 , 0.022282 , 0.015412 , 0.017275 , 0.012708 , 0.026816 , 0.024442 , 0.03749 , 0.029162 , 0.018354 
 368 , 0.010978 , 0.008363 , 0.00878 , 0.011643 , 0.008556 , 0.009062 , 0.00674 , 0.012781 , 0.00312 , 0.010355 , 0.009839 , 0.022733 , 0.015771 , 0.017672 , 0.012635 , 0.027273 , 0.024948 , 0.035761 , 0.02865 , 0.016442 
 369 , 0.011127 , 0.008484 , 0.008805 , 0.011906 , 0.008397 , 0.009297 , 0.006619 , 0.01285 , 0.003089 , 0.010461 , 0.009924 , 0.02293 , 0.015782 , 0.017475 , 0.012561 , 0.02742 , 0.024937 , 0.034549 , 0.027543 , 0.015228 
 370 , 0.010988 , 0.008635 , 0.008668 , 0.012256 , 0.008121 , 0.009718 , 0.006682 , 0.012548 , 0.00311 , 0.010448 , 0.009958 , 0.022834 , 0.015395 , 0.016641 , 0.012494 , 0.027215 , 0.024337 , 0.033813 , 0.02583 , 0.014397 
 371 , 0.010853 , 0.008771 , 0.008528 , 0.012591 , 0.007861 , 0.010133 , 0.00674 , 0.012263 , 0.003126 , 0.010438 , 0.009991 , 0.022728 , 0.015039 , 0.015923 , 0.012443 , 0.027015 , 0.023773 , 0.033146 , 0.024359 , 0.013589 
 372 , 0.010708 , 0.008853 , 0.00837 , 0.012829 , 0.007619 , 0.010486 , 0.006793 , 0.012015 , 0.003146 , 0.01042 , 0.009999 , 0.022617 , 0.014718 , 0.015274 , 0.012356 , 0.026795 , 0.023207 , 0.032474 , 0.023092 , 0.012806 
 373 , 0.010433 , 0.008387 , 0.008035 , 0.011966 , 0.007433 , 0.01008 , 0.006785 , 0.012062 , 0.003212 , 0.010339 , 0.009716 , 0.022545 , 0.01455 , 0.014442 , 0.011675 , 0.026243 , 0.022126 , 0.030922 , 0.022166 , 0.011868 
 374 , 0.010174 , 0.007975 , 0.007705 , 0.011203 , 0.007276 , 0.009715 , 0.00682 , 0.012131 , 0.003293 , 0.010247 , 0.009452 , 0.022499 , 0.014422 , 0.013788 , 0.011082 , 0.025787 , 0.021291 , 0.029741 , 0.021487 , 0.011224 
 375 , 0.009928 , 0.0076 , 0.007381 , 0.010509 , 0.00714 , 0.009379 , 0.006885 , 0.012217 , 0.003386 , 0.010146 , 0.009203 , 0.022474 , 0.014322 , 0.013254 , 0.010551 , 0.0254 , 0.020624 , 0.028809 , 0.020975 , 0.01076 
 376 , 0.009816 , 0.007657 , 0.00734 , 0.010333 , 0.00716 , 0.009155 , 0.006827 , 0.012246 , 0.0035 , 0.009979 , 0.009246 , 0.022437 , 0.014041 , 0.012763 , 0.010163 , 0.024683 , 0.019712 , 0.027018 , 0.019915 , 0.010434 
 377 , 0.009801 , 0.007902 , 0.007435 , 0.010433 , 0.007225 , 0.009006 , 0.006707 , 0.012299 , 0.003619 , 0.009835 , 0.009402 , 0.022406 , 0.013752 , 0.012413 , 0.009982 , 0.024139 , 0.018969 , 0.025555 , 0.019053 , 0.010265 
 378 , 0.009821 , 0.008161 , 0.007547 , 0.010593 , 0.007274 , 0.008883 , 0.006578 , 0.012392 , 0.003734 , 0.009733 , 0.009554 , 0.022384 , 0.013519 , 0.012169 , 0.009921 , 0.02384 , 0.018445 , 0.024598 , 0.018511 , 0.010187 
 379 , 0.009715 , 0.008187 , 0.007533 , 0.010714 , 0.007314 , 0.008858 , 0.006511 , 0.01237 , 0.003687 , 0.009763 , 0.009646 , 0.022382 , 0.013342 , 0.011984 , 0.009858 , 0.023649 , 0.018018 , 0.023706 , 0.018081 , 0.00997 
 380 , 0.009331 , 0.007718 , 0.007251 , 0.010716 , 0.007369 , 0.008995 , 0.006582 , 0.012068 , 0.003301 , 0.010021 , 0.009609 , 0.022415 , 0.013264 , 0.011832 , 0.009726 , 0.023497 , 0.017676 , 0.022802 , 0.017728 , 0.009545 
 381 , 0.008958 , 0.007233 , 0.006976 , 0.010734 , 0.007447 , 0.00912 , 0.006655 , 0.011752 , 0.002901 , 0.010272 , 0.009554 , 0.022449 , 0.013233 , 0.011692 , 0.009643 , 0.02339 , 0.017438 , 0.022233 , 0.01753 , 0.009292 
 382 , 0.008588 , 0.006735 , 0.006701 , 0.010761 , 0.007539 , 0.009239 , 0.00673 , 0.011424 , 0.002488 , 0.010523 , 0.009489 , 0.022484 , 0.013228 , 0.011558 , 0.009586 , 0.023307 , 0.017252 , 0.021829 , 0.017411 , 0.009121 
 383 , 0.008834 , 0.006797 , 0.006857 , 0.010629 , 0.007354 , 0.009182 , 0.006748 , 0.011546 , 0.002558 , 0.010309 , 0.009565 , 0.022636 , 0.013174 , 0.011617 , 0.0096 , 0.023368 , 0.017216 , 0.021563 , 0.016985 , 0.008873 
 384 , 0.009116 , 0.006892 , 0.007033 , 0.010496 , 0.007162 , 0.009134 , 0.006784 , 0.011702 , 0.002651 , 0.010097 , 0.009653 , 0.022826 , 0.013158 , 0.011729 , 0.00965 , 0.0235 , 0.017272 , 0.021449 , 0.016694 , 0.008703 
 385 , 0.009404 , 0.006992 , 0.007209 , 0.010367 , 0.006971 , 0.009099 , 0.006832 , 0.011866 , 0.002749 , 0.009896 , 0.009744 , 0.023035 , 0.013165 , 0.011866 , 0.009721 , 0.023671 , 0.017376 , 0.021414 , 0.016484 , 0.008578 
 386 , 0.009653 , 0.007183 , 0.007286 , 0.010527 , 0.007009 , 0.009294 , 0.006968 , 0.011932 , 0.00297 , 0.009876 , 0.009956 , 0.023358 , 0.013278 , 0.012042 , 0.009872 , 0.023805 , 0.017544 , 0.021427 , 0.016561 , 0.008563 
 387 , 0.009866 , 0.007424 , 0.007291 , 0.010868 , 0.0072 , 0.009636 , 0.007153 , 0.011929 , 0.003265 , 0.009973 , 0.010236 , 0.023734 , 0.013455 , 0.012232 , 0.010069 , 0.023918 , 0.01775 , 0.021471 , 0.016817 , 0.008622 
 388 , 0.010066 , 0.007654 , 0.007292 , 0.011184 , 0.007379 , 0.009962 , 0.00733 , 0.011931 , 0.003546 , 0.01006 , 0.010498 , 0.024083 , 0.013621 , 0.012417 , 0.010262 , 0.024043 , 0.017961 , 0.021529 , 0.017065 , 0.008685 
 389 , 0.01019 , 0.007827 , 0.007322 , 0.011417 , 0.007568 , 0.010234 , 0.007567 , 0.012009 , 0.003779 , 0.010177 , 0.010729 , 0.024401 , 0.013791 , 0.012571 , 0.010451 , 0.024203 , 0.018169 , 0.021616 , 0.017324 , 0.0088 
 390 , 0.01008 , 0.007835 , 0.00745 , 0.011409 , 0.007814 , 0.010356 , 0.008022 , 0.012341 , 0.003883 , 0.010405 , 0.010889 , 0.024661 , 0.013994 , 0.012636 , 0.010648 , 0.024473 , 0.018382 , 0.021781 , 0.017635 , 0.009083 
 391 , 0.009978 , 0.007842 , 0.007575 , 0.011401 , 0.008051 , 0.010476 , 0.008458 , 0.012662 , 0.003984 , 0.010628 , 0.011041 , 0.024918 , 0.014191 , 0.012703 , 0.010841 , 0.024742 , 0.018586 , 0.021948 , 0.017944 , 0.009359 
 392 , 0.009881 , 0.007853 , 0.007694 , 0.011396 , 0.008276 , 0.010594 , 0.008877 , 0.012971 , 0.004083 , 0.010846 , 0.011191 , 0.025166 , 0.014382 , 0.012772 , 0.011028 , 0.025005 , 0.018784 , 0.022114 , 0.018245 , 0.009628 
 393 , 0.01015 , 0.008168 , 0.007995 , 0.011804 , 0.008496 , 0.010751 , 0.008943 , 0.013133 , 0.004342 , 0.011126 , 0.011462 , 0.025454 , 0.01466 , 0.012996 , 0.011253 , 0.025465 , 0.019026 , 0.022354 , 0.018449 , 0.009898 
 394 , 0.01046 , 0.00851 , 0.008304 , 0.012248 , 0.008698 , 0.010904 , 0.008949 , 0.013259 , 0.00461 , 0.011399 , 0.011735 , 0.025729 , 0.014931 , 0.013228 , 0.011469 , 0.025928 , 0.019257 , 0.022587 , 0.018627 , 0.010151 
 395 , 0.010744 , 0.008824 , 0.008588 , 0.012656 , 0.008885 , 0.011047 , 0.008956 , 0.013377 , 0.004858 , 0.011652 , 0.011985 , 0.025983 , 0.015181 , 0.013443 , 0.011669 , 0.026355 , 0.019472 , 0.022809 , 0.018793 , 0.010384 
 396 , 0.011066 , 0.009084 , 0.008849 , 0.013069 , 0.009203 , 0.011446 , 0.009197 , 0.013588 , 0.005079 , 0.012015 , 0.012308 , 0.02639 , 0.015486 , 0.01387 , 0.012085 , 0.026753 , 0.019828 , 0.023253 , 0.019216 , 0.010779 
 397 , 0.011405 , 0.009278 , 0.009074 , 0.01347 , 0.009628 , 0.012062 , 0.009637 , 0.013878 , 0.005269 , 0.012466 , 0.012682 , 0.026913 , 0.015828 , 0.014471 , 0.012682 , 0.027108 , 0.020297 , 0.023883 , 0.019855 , 0.011298 
 398 , 0.011697 , 0.009448 , 0.009271 , 0.013813 , 0.009996 , 0.012592 , 0.010018 , 0.014127 , 0.005434 , 0.012855 , 0.013007 , 0.027367 , 0.016123 , 0.01499 , 0.0132 , 0.027412 , 0.0207 , 0.024429 , 0.020409 , 0.011751 
 399 , 0.011955 , 0.009615 , 0.009475 , 0.014093 , 0.010292 , 0.01304 , 0.010357 , 0.014367 , 0.005602 , 0.013184 , 0.013305 , 0.027783 , 0.016397 , 0.015439 , 0.013632 , 0.027698 , 0.021064 , 0.024897 , 0.020884 , 0.012158 
 400 , 0.012176 , 0.009908 , 0.009867 , 0.014177 , 0.010354 , 0.013294 , 0.010676 , 0.014751 , 0.005937 , 0.013361 , 0.013656 , 0.02829 , 0.016737 , 0.015811 , 0.013848 , 0.028095 , 0.02146 , 0.025245 , 0.021245 , 0.012626 
 401 , 0.012373 , 0.010161 , 0.010216 , 0.014248 , 0.010412 , 0.01352 , 0.010958 , 0.015089 , 0.006233 , 0.013516 , 0.013966 , 0.02874 , 0.01704 , 0.016137 , 0.014038 , 0.028444 , 0.02181 , 0.025553 , 0.021562 , 0.013039 
 402 , 0.012546 , 0.010391 , 0.010528 , 0.014315 , 0.010461 , 0.013719 , 0.011211 , 0.015394 , 0.006495 , 0.013656 , 0.014245 , 0.029141 , 0.017307 , 0.016431 , 0.014206 , 0.028756 , 0.02212 , 0.025827 , 0.021847 , 0.013411 
 403 , 0.012733 , 0.010603 , 0.010596 , 0.014549 , 0.010653 , 0.013918 , 0.011463 , 0.015548 , 0.006711 , 0.013893 , 0.014538 , 0.029466 , 0.017557 , 0.016715 , 0.014453 , 0.02908 , 0.022423 , 0.026055 , 0.022031 , 0.013661 
 404 , 0.012914 , 0.010802 , 0.010588 , 0.014827 , 0.010882 , 0.014113 , 0.011704 , 0.015653 , 0.006908 , 0.014149 , 0.014827 , 0.029758 , 0.01779 , 0.016989 , 0.014711 , 0.029403 , 0.022713 , 0.026263 , 0.022177 , 0.013867 
 405 , 0.013085 , 0.010987 , 0.01058 , 0.015087 , 0.011094 , 0.014297 , 0.011932 , 0.015748 , 0.007086 , 0.014389 , 0.015094 , 0.030031 , 0.018004 , 0.017247 , 0.014951 , 0.029704 , 0.022982 , 0.026453 , 0.022313 , 0.014059 
 406 , 0.013201 , 0.011125 , 0.010626 , 0.015285 , 0.011296 , 0.014466 , 0.012118 , 0.015898 , 0.007244 , 0.014581 , 0.015333 , 0.030305 , 0.018198 , 0.017454 , 0.01518 , 0.029985 , 0.023213 , 0.026651 , 0.022525 , 0.014235 
 407 , 0.013233 , 0.011191 , 0.010759 , 0.015399 , 0.011481 , 0.014632 , 0.012255 , 0.016129 , 0.007363 , 0.014718 , 0.015527 , 0.030591 , 0.018362 , 0.017595 , 0.01541 , 0.030245 , 0.023394 , 0.026869 , 0.022864 , 0.014399 
