"","process_file","Research_location","Date","Time","Site","Block","Treatment","Weather","Spufilename","test","REP","NDVI(MODIS)","EVI(MODIS)","EVI2(MODIS)","PRI(550Reference)","PRI(570Ref)","WBI","ChlIndex","FileNum","Process_file","key","key_num"
"1","1","Toolik",2016-05-27,"0.41666666666666669","HIST",NA,"REF1","Overcast skies","may27hist00005.spu",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,5,"HIST_2016-05-27_CTNP.xlsx","2016-05-27_HIST00005","00005"
"2","1","Toolik",2016-05-27,"0.41666666666666669","HIST",NA,"REF1","Overcast skies","may27hist00006.spu",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,6,"HIST_2016-05-27_CTNP.xlsx","2016-05-27_HIST00006","00006"
"3","1","Toolik",2016-05-27,"0.41666666666666669","HIST",NA,"REF1","Overcast skies","may27hist00007.spu",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,7,"HIST_2016-05-27_CTNP.xlsx","2016-05-27_HIST00007","00007"
"4","1","Toolik",2016-05-27,"0.41666666666666669","HIST","1","CT",NA,"may27hist00016.spu",NA,"4","0.52864314840293425","0.42810327091627071","0.3591398817681295","7.3516043996000396E-2","8.4429073514715278E-2","0.9998501705411782","0.21107673168266342",16,"HIST_2016-05-27_CTNP.xlsx","2016-05-27_HIST00016","00016"
"5","1","Toolik",2016-05-27,"0.41666666666666669","HIST","1","CT",NA,"may27hist00017.spu",NA,"5","0.53486493647070477","0.44942054960194727","0.3812130326234619","7.82692480057363E-2","9.5780050448153256E-2","1.0050815217391305","0.20494226962952622",17,"HIST_2016-05-27_CTNP.xlsx","2016-05-27_HIST00017","00017"
"6","1","Toolik",2016-05-27,"0.41666666666666669","HIST","1","NP",NA,"may27hist00018.spu",NA,"1","0.46290649362329134","0.34061719586085665","0.2772286920394017","5.6787657552173014E-2","6.2314912555989845E-2","1.0055274255338102","0.17175302435903972",18,"HIST_2016-05-27_CTNP.xlsx","2016-05-27_HIST00018","00018"
"7","1","Toolik",2016-05-27,"0.41666666666666669","HIST","1","NP",NA,"may27hist00019.spu",NA,"2","0.3205833072959845","0.15860260335281923","0.13426704517855639","4.5778907449946254E-2","4.1806567848660992E-2","0.96222385861561122","8.4485912562065071E-2",19,"HIST_2016-05-27_CTNP.xlsx","2016-05-27_HIST00019","00019"
"8","1","Toolik",2016-05-27,"0.41666666666666669","HIST","1","NP",NA,"may27hist00020.spu",NA,"3","0.41371727389566576","0.20787765652034879","0.17833725293053371","5.0096433591579191E-2","5.1600058747694938E-2","1.0001758664353044","0.12996830271146045",20,"HIST_2016-05-27_CTNP.xlsx","2016-05-27_HIST00020","00020"
"9","1","Toolik",2016-05-27,"0.41666666666666669","HIST","1","NP",NA,"may27hist00021.spu",NA,"4","0.37739749362458791","0.21832155084299362","0.18457281817736199","5.2109307414380884E-2","5.2332347610416857E-2","0.96678433497873673","0.11156625938743321",21,"HIST_2016-05-27_CTNP.xlsx","2016-05-27_HIST00021","00021"
"10","1","Toolik",2016-05-27,"0.41666666666666669","HIST","1","NP",NA,"may27hist00022.spu",NA,"5","0.34560653302391553","0.21317445233606508","0.18539733128589037","5.9707866152768033E-2","6.7928603602381246E-2","0.95923860713720221","9.4402413411751165E-2",22,"HIST_2016-05-27_CTNP.xlsx","2016-05-27_HIST00022","00022"
"11","1","Toolik",2016-05-27,"0.41666666666666669","HIST","1","NP",NA,"may27hist00023.spu",NA,"1","0.3590657518159297","0.16321650516935424","0.13948618775044461","4.7430010841145308E-2","4.5634603712104246E-2","1.0088669526665424","0.11471924824770854",23,"HIST_2016-05-27_CTNP.xlsx","2016-05-27_HIST00023","00023"
"12","1","Toolik",2016-05-27,"0.41666666666666669","HIST","1","NP",NA,"may27hist00024.spu",NA,"2","0.370134670071671","0.1610125172098657","0.13869334998632249","5.0424804148736575E-2","4.9109267695655115E-2","1.0109051173024888","0.11799435454329983",24,"HIST_2016-05-27_CTNP.xlsx","2016-05-27_HIST00024","00024"
"13","1","Toolik",2016-05-27,"0.41666666666666669","HIST","1","NP",NA,"may27hist00025.spu",NA,"3","0.39433173600950339","0.19345069900017514","0.16600076720307994","5.3006856023506424E-2","5.4932165617547039E-2","1.0021712816801227","0.13071229275716562",25,"HIST_2016-05-27_CTNP.xlsx","2016-05-27_HIST00025","00025"
