JUL8MAT00050.spu,JUL8MAT00049.spu,JUL8MAT00048.spu,JUL8MAT00047.spu,
Wavelength,JUL8MAT00051.spu,JUL8MAT00052.spu,JUL8MAT00053.spu,JUL8MAT00054.spu,JUL8MAT00055.spu,JUL8MAT00056.spu,JUL8MAT00057.spu,JUL8MAT00058.spu,JUL8MAT00059.spu,JUL8MAT00060.spu,JUL8MAT00061.spu,JUL8MAT00062.spu,JUL8MAT00063.spu,JUL8MAT00064.spu,JUL8MAT00065.spu,JUL8MAT00066.spu,JUL8MAT00067.spu,JUL8MAT00068.spu,JUL8MAT00069.spu,JUL8MAT00070.spu,JUL8MAT00071.spu,JUL8MAT00072.spu,JUL8MAT00073.spu,JUL8MAT00074.spu,JUL8MAT00075.spu,JUL8MAT00076.spu,JUL8MAT00077.spu,JUL8MAT00078.spu,JUL8MAT00079.spu,JUL8MAT00080.spu,JUL8MAT00081.spu,JUL8MAT00082.spu,JUL8MAT00083.spu,JUL8MAT00084.spu,JUL8MAT00085.spu
 337 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.442664 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.442664 , 0 , 0 , 0 , 0 , 0.442664 , 0 , 0 , 0 , 0 , 0 
 338 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.534434 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.534434 , 0 , 0 , 0 , 0 , 0.534434 , 0 , 0 , 0 , 0 , 0 
 339 , 0 , 0.000009 , 0 , 0.000049 , 0.000113 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000083 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000028 , 0.000034 , 0 , 0.00009 , 0.00011 , 0.000167 , 0.000117 , 0.009883 , 0 , 0 , 0 , 0 , 0 
 340 , 0 , 0.000033 , 0 , 0.00016 , 0.00041 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00032 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000093 , 0.000098 , 0 , 0.000328 , 0.000345 , 0.000416 , 0.00044 , 0.017738 , 0 , 0 , 0 , 0 , 0 
 341 , 0 , 0.000067 , 0 , 0.000285 , 0.000801 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000655 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000167 , 0.000162 , 0 , 0.000641 , 0.000601 , 0.000636 , 0.000883 , 0.023949 , 0 , 0 , 0 , 0 , 0 
 342 , 0.000063 , 0.000123 , 0.000167 , 0.000608 , 0.001404 , 0.000081 , 0.000098 , 0 , 0 , 0.000035 , 0.000086 , 0.000056 , 0 , 0.00003 , 0.000052 , 0.001121 , 0 , 0.000063 , 0 , 0.00008 , 0.000041 , 0.000018 , 0.000376 , 0.000371 , 0.000216 , 0.001094 , 0.001079 , 0.001088 , 0.001641 , 0.024109 , 0 , 0.000033 , 0 , 0 , 0.000069 
 343 , 0.000211 , 0.000197 , 0.000536 , 0.001195 , 0.002193 , 0.000298 , 0.000397 , 0 , 0 , 0.000129 , 0.000546 , 0.000215 , 0 , 0.000112 , 0.000202 , 0.00159 , 0 , 0.000232 , 0 , 0.000293 , 0.000158 , 0.000059 , 0.000742 , 0.00085 , 0.00081 , 0.001596 , 0.001838 , 0.001826 , 0.00257 , 0.022505 , 0 , 0.000129 , 0 , 0 , 0.000276 
 344 , 0.000348 , 0.000262 , 0.00086 , 0.001757 , 0.002976 , 0.000529 , 0.00076 , 0 , 0 , 0.000225 , 0.002263 , 0.000395 , 0 , 0.000202 , 0.000373 , 0.001972 , 0 , 0.000414 , 0 , 0.000518 , 0.000292 , 0.000094 , 0.00107 , 0.001409 , 0.001453 , 0.002014 , 0.00258 , 0.002508 , 0.003328 , 0.022285 , 0 , 0.000238 , 0 , 0 , 0.000521 
 345 , 0.000466 , 0.000353 , 0.001147 , 0.002316 , 0.00374 , 0.000769 , 0.00118 , 0.000031 , 0.000011 , 0.000362 , 0.017279 , 0.000598 , 0.000007 , 0.000316 , 0.000579 , 0.002338 , 0.000007 , 0.000621 , 0.000009 , 0.000755 , 0.000467 , 0.000149 , 0.001393 , 0.002024 , 0.002123 , 0.002413 , 0.00332 , 0.003189 , 0.004015 , 0.02232 , 0.000023 , 0.000371 , 0.00001 , 0.000012 , 0.000796 
 346 , 0.000485 , 0.00088 , 0.00143 , 0.003215 , 0.004209 , 0.00117 , 0.001855 , 0.000549 , 0.000173 , 0.001183 , 0.003072 , 0.001029 , 0.000117 , 0.000788 , 0.001139 , 0.003063 , 0.000116 , 0.001212 , 0.00016 , 0.001189 , 0.001118 , 0.000573 , 0.002085 , 0.002655 , 0.003087 , 0.003175 , 0.004251 , 0.004441 , 0.005038 , 0.021504 , 0.000379 , 0.000772 , 0.000176 , 0.000204 , 0.001209 
 347 , 0.000471 , 0.001371 , 0.001626 , 0.003974 , 0.004417 , 0.001531 , 0.002459 , 0.001156 , 0.00033 , 0.002162 , 0.002517 , 0.001416 , 0.000225 , 0.001288 , 0.001615 , 0.003603 , 0.000227 , 0.001823 , 0.000318 , 0.001553 , 0.001709 , 0.001025 , 0.002695 , 0.003107 , 0.003672 , 0.003749 , 0.004918 , 0.005423 , 0.005734 , 0.020597 , 0.000737 , 0.001155 , 0.000356 , 0.000398 , 0.001568 
 348 , 0.000442 , 0.001788 , 0.001755 , 0.004588 , 0.004467 , 0.001837 , 0.002965 , 0.001786 , 0.000465 , 0.003228 , 0.002308 , 0.001738 , 0.000321 , 0.00177 , 0.001988 , 0.003984 , 0.000327 , 0.002409 , 0.000465 , 0.001836 , 0.002196 , 0.001458 , 0.003202 , 0.003409 , 0.004009 , 0.004162 , 0.005372 , 0.006149 , 0.006178 , 0.019622 , 0.001057 , 0.001491 , 0.00053 , 0.000572 , 0.001862 
 349 , 0.000737 , 0.002273 , 0.002445 , 0.005163 , 0.0052 , 0.00205 , 0.003388 , 0.002056 , 0.001008 , 0.003943 , 0.002521 , 0.002213 , 0.000583 , 0.002103 , 0.002397 , 0.004401 , 0.000597 , 0.002838 , 0.000721 , 0.002171 , 0.002615 , 0.002003 , 0.003652 , 0.003818 , 0.004554 , 0.004922 , 0.00601 , 0.006473 , 0.007074 , 0.018854 , 0.001447 , 0.001791 , 0.000839 , 0.000901 , 0.002272 
 350 , 0.001132 , 0.002789 , 0.00334 , 0.005721 , 0.006225 , 0.002219 , 0.003759 , 0.002159 , 0.001654 , 0.004406 , 0.002848 , 0.002764 , 0.000901 , 0.002357 , 0.002821 , 0.004829 , 0.000916 , 0.003179 , 0.001001 , 0.002518 , 0.003009 , 0.002607 , 0.004067 , 0.004253 , 0.005101 , 0.005859 , 0.006701 , 0.006665 , 0.008149 , 0.018442 , 0.001862 , 0.002064 , 0.001179 , 0.001327 , 0.002731 
 351 , 0.001482 , 0.003275 , 0.004172 , 0.006246 , 0.007216 , 0.002368 , 0.004085 , 0.002246 , 0.00222 , 0.004786 , 0.003139 , 0.003302 , 0.001197 , 0.002585 , 0.003216 , 0.005219 , 0.001205 , 0.003482 , 0.001252 , 0.002833 , 0.003377 , 0.003204 , 0.004439 , 0.004639 , 0.005541 , 0.006784 , 0.007318 , 0.006832 , 0.009152 , 0.018201 , 0.002254 , 0.002307 , 0.001485 , 0.001776 , 0.003166 
 352 , 0.001808 , 0.003676 , 0.004822 , 0.006799 , 0.00816 , 0.002584 , 0.004397 , 0.002425 , 0.002628 , 0.005124 , 0.003435 , 0.003812 , 0.001482 , 0.002861 , 0.003514 , 0.005644 , 0.001458 , 0.003824 , 0.001505 , 0.003122 , 0.003732 , 0.003706 , 0.004821 , 0.005019 , 0.005971 , 0.007506 , 0.007931 , 0.0072 , 0.009843 , 0.018398 , 0.002622 , 0.002551 , 0.001744 , 0.002117 , 0.003558 
 353 , 0.002105 , 0.003857 , 0.00507 , 0.007296 , 0.008869 , 0.002903 , 0.004636 , 0.002749 , 0.002748 , 0.005356 , 0.003703 , 0.0042 , 0.001745 , 0.003205 , 0.003579 , 0.006061 , 0.001648 , 0.004205 , 0.001781 , 0.003329 , 0.004014 , 0.003932 , 0.005163 , 0.005334 , 0.006349 , 0.007657 , 0.008446 , 0.007841 , 0.009808 , 0.01886 , 0.002917 , 0.002777 , 0.00191 , 0.002157 , 0.003811 
 354 , 0.002348 , 0.003943 , 0.005191 , 0.007601 , 0.00937 , 0.00314 , 0.004758 , 0.002984 , 0.0028 , 0.00546 , 0.003878 , 0.004489 , 0.001957 , 0.003453 , 0.003565 , 0.006325 , 0.001794 , 0.004476 , 0.002022 , 0.00345 , 0.004192 , 0.004058 , 0.005375 , 0.005513 , 0.006565 , 0.007634 , 0.008747 , 0.008293 , 0.009594 , 0.018885 , 0.003138 , 0.002934 , 0.002029 , 0.002151 , 0.003967 
 355 , 0.002541 , 0.003964 , 0.005224 , 0.007765 , 0.009715 , 0.003311 , 0.004799 , 0.003147 , 0.002804 , 0.005476 , 0.003983 , 0.004699 , 0.002123 , 0.003626 , 0.003504 , 0.006478 , 0.001904 , 0.004661 , 0.00223 , 0.003512 , 0.004293 , 0.004113 , 0.005493 , 0.005595 , 0.006664 , 0.007505 , 0.008895 , 0.008601 , 0.009282 , 0.018636 , 0.003301 , 0.00304 , 0.002111 , 0.002117 , 0.004052 
 356 , 0.003027 , 0.004624 , 0.00575 , 0.00849 , 0.01002 , 0.003795 , 0.005441 , 0.003629 , 0.003255 , 0.006446 , 0.004405 , 0.005175 , 0.002372 , 0.00392 , 0.004052 , 0.00744 , 0.002135 , 0.005173 , 0.002471 , 0.004233 , 0.004791 , 0.004451 , 0.006006 , 0.006216 , 0.007405 , 0.008552 , 0.009515 , 0.009077 , 0.009949 , 0.019246 , 0.003466 , 0.003477 , 0.002409 , 0.00251 , 0.004439 
 357 , 0.003538 , 0.005327 , 0.006252 , 0.00917 , 0.010243 , 0.004291 , 0.006106 , 0.004098 , 0.003716 , 0.007488 , 0.004806 , 0.005622 , 0.002608 , 0.004183 , 0.004633 , 0.008441 , 0.00236 , 0.005666 , 0.002692 , 0.005016 , 0.005277 , 0.004762 , 0.006487 , 0.006816 , 0.008126 , 0.009637 , 0.010066 , 0.009479 , 0.010577 , 0.019767 , 0.003599 , 0.003915 , 0.002707 , 0.002925 , 0.004803 
 358 , 0.004057 , 0.006038 , 0.006711 , 0.009787 , 0.010409 , 0.004782 , 0.00677 , 0.004539 , 0.004162 , 0.008551 , 0.005174 , 0.00603 , 0.002829 , 0.004414 , 0.005215 , 0.009439 , 0.002572 , 0.006126 , 0.002894 , 0.00582 , 0.005731 , 0.005037 , 0.006923 , 0.007372 , 0.008797 , 0.0107 , 0.01054 , 0.009817 , 0.011133 , 0.020192 , 0.003708 , 0.004335 , 0.002993 , 0.003337 , 0.005135 
 359 , 0.004226 , 0.006055 , 0.006914 , 0.010029 , 0.010675 , 0.005124 , 0.006945 , 0.004795 , 0.004426 , 0.008628 , 0.005427 , 0.006188 , 0.003004 , 0.00466 , 0.005581 , 0.009751 , 0.002774 , 0.006445 , 0.00318 , 0.0061 , 0.006056 , 0.005225 , 0.00727 , 0.007507 , 0.009123 , 0.011022 , 0.010827 , 0.010063 , 0.011573 , 0.020295 , 0.003832 , 0.004555 , 0.003175 , 0.003544 , 0.005332 
 360 , 0.004138 , 0.005609 , 0.006937 , 0.010015 , 0.011007 , 0.005335 , 0.006781 , 0.00492 , 0.004547 , 0.008024 , 0.005596 , 0.006175 , 0.003141 , 0.004922 , 0.005767 , 0.009566 , 0.002961 , 0.006655 , 0.003529 , 0.005982 , 0.006282 , 0.005349 , 0.007545 , 0.007361 , 0.0092 , 0.010823 , 0.010986 , 0.010247 , 0.011936 , 0.020196 , 0.003968 , 0.004623 , 0.003275 , 0.003592 , 0.005432 
 361 , 0.004063 , 0.005232 , 0.006953 , 0.010001 , 0.011307 , 0.005523 , 0.006649 , 0.005035 , 0.004653 , 0.007496 , 0.005748 , 0.00616 , 0.003266 , 0.005172 , 0.005933 , 0.009404 , 0.003133 , 0.006847 , 0.003865 , 0.005874 , 0.006491 , 0.005459 , 0.007793 , 0.007232 , 0.009264 , 0.010652 , 0.011124 , 0.010408 , 0.012276 , 0.020102 , 0.004093 , 0.004681 , 0.003364 , 0.003633 , 0.005519 
 362 , 0.004047 , 0.005091 , 0.007063 , 0.010108 , 0.011604 , 0.005704 , 0.006646 , 0.005209 , 0.004776 , 0.007212 , 0.005904 , 0.006229 , 0.00338 , 0.00543 , 0.006123 , 0.009357 , 0.003316 , 0.007068 , 0.004148 , 0.005888 , 0.006699 , 0.005592 , 0.008034 , 0.007231 , 0.009324 , 0.010644 , 0.011416 , 0.010601 , 0.012674 , 0.02018 , 0.004247 , 0.004795 , 0.003488 , 0.003746 , 0.005623 
 363 , 0.004239 , 0.005717 , 0.007563 , 0.010702 , 0.011962 , 0.005918 , 0.007076 , 0.005605 , 0.005 , 0.00765 , 0.006102 , 0.006625 , 0.003475 , 0.005739 , 0.006439 , 0.009683 , 0.003577 , 0.007427 , 0.004242 , 0.006346 , 0.006925 , 0.005857 , 0.008315 , 0.00769 , 0.00938 , 0.011192 , 0.012398 , 0.010943 , 0.013324 , 0.020884 , 0.004537 , 0.005146 , 0.003772 , 0.004155 , 0.005821 
 364 , 0.004406 , 0.006323 , 0.008018 , 0.011233 , 0.012248 , 0.006095 , 0.007461 , 0.005953 , 0.005192 , 0.008028 , 0.006263 , 0.00698 , 0.00355 , 0.006008 , 0.006712 , 0.00995 , 0.003815 , 0.007734 , 0.004313 , 0.006766 , 0.007109 , 0.006085 , 0.008544 , 0.008104 , 0.009395 , 0.011669 , 0.013323 , 0.011219 , 0.013887 , 0.021459 , 0.004795 , 0.005462 , 0.004031 , 0.004535 , 0.005982 
 365 , 0.004549 , 0.006905 , 0.008431 , 0.011707 , 0.012471 , 0.006239 , 0.007804 , 0.006258 , 0.005356 , 0.008355 , 0.006391 , 0.007297 , 0.003608 , 0.006242 , 0.006946 , 0.010165 , 0.004031 , 0.007996 , 0.004365 , 0.007148 , 0.007258 , 0.006281 , 0.008729 , 0.008475 , 0.009378 , 0.012082 , 0.014191 , 0.01144 , 0.014371 , 0.021924 , 0.005022 , 0.005746 , 0.004266 , 0.004886 , 0.006112 
 366 , 0.004844 , 0.007256 , 0.008924 , 0.012056 , 0.01297 , 0.006392 , 0.008093 , 0.006275 , 0.005753 , 0.008652 , 0.006724 , 0.007611 , 0.003853 , 0.006511 , 0.007147 , 0.010448 , 0.004256 , 0.008355 , 0.004668 , 0.007477 , 0.007454 , 0.006529 , 0.009048 , 0.008907 , 0.009847 , 0.012631 , 0.014356 , 0.01163 , 0.014328 , 0.021997 , 0.005356 , 0.005906 , 0.004483 , 0.005063 , 0.006487 
 367 , 0.005163 , 0.007539 , 0.009421 , 0.012349 , 0.013503 , 0.006531 , 0.008351 , 0.006226 , 0.006201 , 0.008932 , 0.007093 , 0.007907 , 0.004139 , 0.006775 , 0.007327 , 0.010726 , 0.004478 , 0.008721 , 0.005029 , 0.00778 , 0.007642 , 0.006775 , 0.009377 , 0.009335 , 0.01041 , 0.013186 , 0.014345 , 0.011797 , 0.014204 , 0.021988 , 0.005711 , 0.006027 , 0.004688 , 0.005191 , 0.006914 
 368 , 0.005472 , 0.007808 , 0.009899 , 0.012609 , 0.014 , 0.006652 , 0.008581 , 0.006168 , 0.006644 , 0.009197 , 0.007447 , 0.008184 , 0.004419 , 0.007023 , 0.007486 , 0.010976 , 0.004689 , 0.009066 , 0.005388 , 0.008064 , 0.007804 , 0.007006 , 0.009681 , 0.009741 , 0.010952 , 0.013706 , 0.014319 , 0.011943 , 0.014109 , 0.021978 , 0.006058 , 0.006134 , 0.004882 , 0.005305 , 0.007331 
 369 , 0.005602 , 0.007855 , 0.010099 , 0.012654 , 0.014234 , 0.006832 , 0.008708 , 0.006043 , 0.006708 , 0.009294 , 0.007515 , 0.00838 , 0.00454 , 0.007143 , 0.007596 , 0.011078 , 0.004763 , 0.009178 , 0.005465 , 0.008167 , 0.007822 , 0.007049 , 0.009871 , 0.009914 , 0.010893 , 0.013892 , 0.014296 , 0.012078 , 0.01409 , 0.021736 , 0.006177 , 0.006161 , 0.004872 , 0.005343 , 0.007479 
 370 , 0.005522 , 0.007638 , 0.009968 , 0.012464 , 0.014157 , 0.007099 , 0.00872 , 0.005844 , 0.006319 , 0.009191 , 0.007247 , 0.008486 , 0.004464 , 0.007111 , 0.007653 , 0.011014 , 0.004668 , 0.00902 , 0.0052 , 0.008056 , 0.007683 , 0.006877 , 0.009928 , 0.009808 , 0.010158 , 0.013688 , 0.014283 , 0.012208 , 0.014146 , 0.021234 , 0.006017 , 0.006093 , 0.004625 , 0.005294 , 0.007301 
 371 , 0.005441 , 0.007419 , 0.009852 , 0.012303 , 0.014085 , 0.007364 , 0.008739 , 0.005663 , 0.005953 , 0.009074 , 0.007007 , 0.0086 , 0.004387 , 0.007075 , 0.007705 , 0.010953 , 0.004565 , 0.008876 , 0.004963 , 0.007947 , 0.007565 , 0.006725 , 0.009978 , 0.009708 , 0.009519 , 0.013509 , 0.014263 , 0.012327 , 0.014185 , 0.020772 , 0.005869 , 0.006019 , 0.004395 , 0.00524 , 0.007144 
