
Wavelength,MNAT_00060.spu,MNAT_00061.spu,MNAT_00062.spu,MNAT_00063.spu,MNAT_00064.spu,MNAT_00065.spu,MNAT_00066.spu,MNAT_00067.spu,MNAT_00068.spu,MNAT_00069.spu,MNAT_00070.spu,MNAT_00071.spu,MNAT_00072.spu,MNAT_00073.spu,MNAT_00074.spu,MNAT_00075.spu,MNAT_00076.spu,MNAT_00077.spu,MNAT_00078.spu,MNAT_00079.spu,MNAT_00080.spu,MNAT_00081.spu,MNAT_00082.spu,MNAT_00083.spu,MNAT_00084.spu,MNAT_00085.spu,MNAT_00086.spu,MNAT_00087.spu,MNAT_00088.spu,MNAT_00089.spu
  (nm),7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 
  time  ,:02:24 P,:02:54 P,:03:12 P,:03:39 P,:03:57 P,:04:47 P,:04:59 P,:05:16 P,:05:30 P,:05:44 P,:06:27 P,:06:46 P,:07:00 P,:07:18 P,:07:38 P,:07:56 P,:08:14 P,:08:30 P,:08:43 P,:08:53 P,:09:37 P,:09:57 P,:10:14 P,:10:27 P,:10:40 P,:11:28 P,:11:46 P,:12:07 P,:12:23 P,:12:43 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.06314 , 0.04587 , 0.02088 , 0.01973 , 0.03112 , 0.05884 , 0.05037 , 0.10011 , 0.05309 , 0.02465 , 0.0381 , 0.06754 , 0.02927 , 0.08328 , 0.06991 , 0.02273 , 0.06002 , 0.04855 , 0.05879 , 0.05805 , 0.1137 , 0.07682 , 0.07325 , 0.14915 , 0.12302 , 0.06294 , 0.07655 , 0.07597 , 0.07291 , 0.06494 
 311 , 0.04952 , 0.03309 , 0.00256 , 0.00241 , 0.01843 , 0.046 , 0.02033 , 0.0876 , 0.03241 , 0.00421 , 0.01805 , 0.04655 , 0.01718 , 0.06021 , 0.05858 , 0.01464 , 0.04462 , 0.04057 , 0.03137 , 0.03135 , 0.09482 , 0.06604 , 0.0445 , 0.14035 , 0.10505 , 0.05211 , 0.06262 , 0.06259 , 0.06217 , 0.04029 
 312 , 0.08073 , 0.0567 , 0.03096 , 0.02914 , 0.0534 , 0.07199 , 0.05184 , 0.11709 , 0.07096 , 0.03945 , 0.05249 , 0.08429 , 0.05006 , 0.08289 , 0.09019 , 0.04991 , 0.07487 , 0.06213 , 0.05968 , 0.05322 , 0.12949 , 0.08874 , 0.07413 , 0.16472 , 0.14067 , 0.07665 , 0.08922 , 0.08052 , 0.08922 , 0.0682 
 313 , 0.11824 , 0.08574 , 0.06575 , 0.06196 , 0.09508 , 0.10397 , 0.09235 , 0.15335 , 0.11836 , 0.08301 , 0.09481 , 0.13017 , 0.08995 , 0.11225 , 0.12804 , 0.09103 , 0.11125 , 0.08811 , 0.09642 , 0.08277 , 0.17201 , 0.11651 , 0.11272 , 0.19356 , 0.18368 , 0.106 , 0.12178 , 0.10316 , 0.12178 , 0.10349 
 314 , 0.15477 , 0.11427 , 0.09931 , 0.09367 , 0.13569 , 0.13569 , 0.13185 , 0.1896 , 0.165 , 0.12586 , 0.13612 , 0.1746 , 0.12952 , 0.14068 , 0.165 , 0.13089 , 0.14624 , 0.11371 , 0.13261 , 0.11209 , 0.21359 , 0.14388 , 0.15074 , 0.22139 , 0.22517 , 0.13433 , 0.15368 , 0.12534 , 0.15368 , 0.13761 
 315 , 0.1675 , 0.12566 , 0.11207 , 0.1085 , 0.15176 , 0.14207 , 0.15286 , 0.20439 , 0.18595 , 0.14269 , 0.15549 , 0.19434 , 0.14907 , 0.15022 , 0.1836 , 0.1409 , 0.16332 , 0.12 , 0.15253 , 0.12711 , 0.23042 , 0.15775 , 0.1626 , 0.23853 , 0.24815 , 0.14917 , 0.16718 , 0.13995 , 0.16626 , 0.15641 
